time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,216,128,,,,,,,,,,,,,
2,1,215,256,0.03261859,0.24609375,-1.0055503845214844,0.13526511192321777,4.64993155002594,4,0.06707940343767405,0.2,0.0003,-0.014663713052868843,-0.021089594811201096,,
3,1,216,384,0.01144946,0.0625,-1.7547276020050049,0.13521219789981842,4.6539106369018555,8,0.06205467879772186,0.2,0.0003,-0.004267910495400429,-0.008088215719908476,,
4,2,216,512,0.0149742,0.0703125,-0.6323109865188599,0.1352120339870453,4.656061887741089,12,0.05386058194562793,0.2,0.0003,-0.020760852843523026,-0.017163297859951854,,
5,2,218,640,0.025175028,0.130859375,-0.8995636701583862,0.13522948324680328,4.655364274978638,16,0.049406122881919146,0.2,0.0003,-0.016040511429309845,-0.01536335377022624,,
6,3,218,768,0.013955643,0.080078125,-0.42384910583496094,0.13523490726947784,4.654585123062134,20,0.03849115734919906,0.2,0.0003,0.00043661147356033325,-0.004619966610334814,,
7,4,218,896,0.010298104,0.052734375,-0.7769787311553955,0.13522443175315857,4.654626369476318,24,0.036293243523687124,0.2,0.0003,-0.013523394241929054,-0.011556705925613642,,
8,4,219,1024,0.008237714,0.037109375,-1.1552011966705322,0.13521891832351685,4.655248522758484,28,0.03283320274204016,0.2,0.0003,-0.0036691399291157722,-0.00428628665395081,,
9,5,219,1152,0.0075281924,0.041015625,-0.6830178499221802,0.1352163851261139,4.6554378271102905,32,0.025979403872042894,0.2,0.0003,-0.004462896846234798,-0.0038103279657661915,,
10,5,219,1280,0.0071265153,0.025390625,-1.1885502338409424,0.13521943986415863,4.655554175376892,36,0.021319814957678318,0.2,0.0003,-0.006135351024568081,-0.005149696487933397,,
11,6,220,1408,0.005227069,0.013671875,-1.1333119869232178,0.13521689176559448,4.6553627252578735,40,0.019104193430393934,0.2,0.0003,-0.005096103064715862,-0.002935867989435792,,
12,6,219,1536,0.00903016,0.044921875,-1.6896936893463135,0.13519449532032013,4.655960202217102,44,0.015961985802277923,0.2,0.0003,-0.015763094648718834,-0.009015367366373539,,
