time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,211,128,,,,,,,,,,,,,
2,1,215,256,0.039142095,0.28125,-0.48597168922424316,0.13533122837543488,4.648759961128235,4,0.050056510139256716,0.2,0.0003,-0.02439328283071518,-0.026086376048624516,,
3,1,218,384,0.0118118655,0.080078125,-0.8703508377075195,0.13529905676841736,4.649387955665588,8,0.043361784890294075,0.2,0.0003,-0.008181644603610039,-0.009399710455909371,,
4,2,220,512,0.013715125,0.072265625,-0.6735057830810547,0.13526634871959686,4.651357531547546,12,0.0421314463019371,0.2,0.0003,-0.025218792259693146,-0.018756911624222994,,
5,2,221,640,0.019454077,0.103515625,-0.5847674608230591,0.1352473497390747,4.653114676475525,16,0.03467011102475226,0.2,0.0003,-0.01570906676352024,-0.01449797535315156,,
6,3,221,768,0.009788396,0.044921875,-0.5914809703826904,0.13522425293922424,4.6540868282318115,20,0.02822290174663067,0.2,0.0003,-0.004950826987624168,-0.004491421394050121,,
7,4,221,896,0.011658218,0.060546875,-0.47924888134002686,0.13522596657276154,4.655271053314209,24,0.024376761633902788,0.2,0.0003,-0.007704461924731731,-0.006772578926756978,,
8,4,221,1024,0.013017267,0.068359375,-0.711402416229248,0.13526146113872528,4.654303431510925,28,0.020306268357671797,0.2,0.0003,-0.008627552539110184,-0.007137070409953594,,
9,5,221,1152,0.016243147,0.08984375,-1.61981201171875,0.1352822482585907,4.652242302894592,32,0.016900280374102294,0.2,0.0003,-0.017049739137291908,-0.01155234593898058,,
10,5,221,1280,0.010114357,0.04296875,-1.6021678447723389,0.13527056574821472,4.651812791824341,36,0.013231735327281058,0.2,0.0003,-0.01301436498761177,-0.006692122668027878,,
11,6,221,1408,0.012265695,0.06640625,-0.7546290159225464,0.13526438176631927,4.652545809745789,40,0.01166126923635602,0.2,0.0003,-0.01345022302120924,-0.00731544173322618,,
12,6,221,1536,0.008252915,0.037109375,-1.109983205795288,0.13525918126106262,4.652802467346191,44,0.009863135346677154,0.2,0.0003,-0.013168548233807087,-0.0061379848048090935,,
13,7,221,1664,0.021129487,0.123046875,-7.1438703536987305,0.135252445936203,4.65321683883667,48,0.00919734698254615,0.2,0.0003,-0.026809630915522575,-0.017829755321145058,,
14,8,221,1792,0.01723485,0.1015625,-5.395205497741699,0.1352376490831375,4.6536946296691895,52,0.00798929133452475,0.2,0.0003,-0.002859335159882903,-0.0038359464379027486,,
15,8,221,1920,0.011710176,0.052734375,-2.006720542907715,0.13521136343479156,4.654843091964722,56,0.00666228897171095,0.2,0.0003,-0.028338661417365074,-0.015185792464762926,,
16,9,221,2048,0.018146414,0.08984375,-16.238630294799805,0.13518114387989044,4.6565515995025635,60,0.006615408696234226,0.2,0.0003,-0.010019471868872643,-0.006309164920821786,,
17,9,221,2176,0.02059623,0.12890625,-7.303457260131836,0.13515302538871765,4.658365964889526,64,0.0055333522032015026,0.2,0.0003,-0.013849709182977676,-0.010830955812707543,,
18,10,221,2304,0.021015499,0.12109375,-8.762648582458496,0.13512247800827026,4.659997463226318,68,0.004700291436165571,0.2,0.0003,-0.03464287146925926,-0.021086234133690596,,
19,10,221,2432,0.036060613,0.1953125,-9.25954818725586,0.1350904107093811,4.661884784698486,72,0.005342497490346432,0.2,0.0003,-0.018802540376782417,-0.015621379017829895,,
20,11,221,2560,0.011256646,0.0546875,-20.905742645263672,0.13508063554763794,4.663470029830933,76,0.003198593039996922,0.2,0.0003,-0.016925593838095665,-0.008273471146821976,,
21,12,220,2688,0.008924631,0.05078125,-1.7057440280914307,0.13507843017578125,4.6636892557144165,80,0.0038787410594522953,0.2,0.0003,-0.00614586565643549,-0.0026670931838452816,,
22,12,220,2816,0.017363325,0.087890625,-17.398115158081055,0.13504722714424133,4.664360880851746,84,0.003236602118704468,0.2,0.0003,-0.020747501403093338,-0.011565329972654581,,
23,13,220,2944,0.011524652,0.05078125,-4.643042087554932,0.13502544164657593,4.666308283805847,88,0.002535248757340014,0.2,0.0003,-0.011681701987981796,-0.005201999563723803,,
24,13,220,3072,0.010892863,0.060546875,-18.07522201538086,0.13500340282917023,4.667382836341858,92,0.0027011437923647463,0.2,0.0003,-0.012165405787527561,-0.006376133416779339,,
25,14,220,3200,0.014233333,0.076171875,-56.20381546020508,0.13498717546463013,4.668771743774414,96,0.0032153318752534688,0.2,0.0003,-0.02456052228808403,-0.013939497526735067,3200.0,58.472599
26,15,220,3328,0.028112128,0.166015625,-5.014767646789551,0.13496440649032593,4.669685125350952,100,0.00334357499377802,0.2,0.0003,0.00032333715353161097,-0.004560517147183418,3200.0,58.472599
27,15,220,3456,0.009451427,0.0390625,-0.8385986089706421,0.13495218753814697,4.671000719070435,104,0.004577351501211524,0.2,0.0003,-0.02695319801568985,-0.013511370867490768,3200.0,58.472599
28,16,220,3584,0.01689924,0.09375,-6.198544502258301,0.13496033847332,4.671237230300903,108,0.0017812408041208982,0.2,0.0003,-0.025842448696494102,-0.014607974793761969,3200.0,58.472599
29,16,220,3712,0.014983598,0.08984375,-50.86349105834961,0.1349734365940094,4.670559287071228,112,0.0019183806143701077,0.2,0.0003,-0.009377625770866871,-0.005344178760424256,3200.0,58.472599
30,17,220,3840,0.0026807217,0.0,-36.13661575317383,0.1349744200706482,4.66999626159668,116,0.0020771271956618875,0.2,0.0003,-0.006072197575122118,-0.0009665954858064651,3200.0,58.472599
31,18,220,3968,0.020273356,0.1015625,-9.139777183532715,0.1349726915359497,4.670095443725586,120,0.002113396185450256,0.2,0.0003,-0.03586725518107414,-0.01864765351638198,3200.0,58.472599
