variant,training_seed,axis,samples,sample_clip_fraction,sample_lower_fraction,sample_upper_fraction,deterministic_lower_fraction,deterministic_upper_fraction,mu_mean,mu_abs_max,std_mean,std_min,std_max,executed_action_mean,raw_log_prob_max_error,rollout_summary_max_error
full_gaussian,9000,x,131072,0.34876251220703125,0.28466796875,0.06409454345703125,0.01546478271484375,0.0,-0.45629993081092834,1.2801783084869385,0.9104934334754944,0.8165574669837952,1.0164709091186523,-0.31904032826423645,1.6156980766623974e-06,0.0
full_gaussian,9000,z,131072,0.6396331787109375,0.02471160888671875,0.6149215698242188,0.0,0.6855926513671875,1.3158509731292725,2.6415374279022217,0.8869748115539551,0.7502936124801636,1.0,0.6958395838737488,1.6156980766623974e-06,0.0
bounded_mean,9000,x,131072,0.291351318359375,0.144744873046875,0.1466064453125,0.0,0.0,0.004117111209779978,0.8270100951194763,0.8832528591156006,0.7715509533882141,1.0045294761657715,0.0015297820791602135,1.3770679405666897e-06,0.0
bounded_mean,9000,z,131072,0.415771484375,0.02716064453125,0.38861083984375,0.0,0.0,0.7514896392822266,0.9942633509635925,0.8099489212036133,0.6609907150268555,1.0,0.5294270515441895,1.3770679405666897e-06,0.0
fx_only,9000,x,131072,0.40941619873046875,0.31328582763671875,0.09613037109375,0.25304412841796875,0.00016021728515625,-0.4738934636116028,2.758960485458374,0.8388088345527649,0.7415587306022644,1.0,-0.25622519850730896,1.164410857512621e-06,0.0
full_gaussian,10000,x,131072,0.304595947265625,0.21338653564453125,0.09120941162109375,0.02748870849609375,0.0,-0.2434297502040863,1.1765657663345337,0.8459892272949219,0.7303792834281921,1.0,-0.1702030599117279,1.7912131156094802e-06,0.0
full_gaussian,10000,z,131072,0.5296173095703125,0.11782073974609375,0.41179656982421875,0.0456695556640625,0.4491119384765625,0.6361824870109558,2.490828275680542,0.8593913316726685,0.7616872787475586,1.0,0.33265912532806396,1.7912131156094802e-06,0.0
bounded_mean,10000,x,131072,0.2633819580078125,0.188446044921875,0.0749359130859375,0.0,0.0,-0.23133455216884613,0.8227807879447937,0.8115482926368713,0.6810290217399597,1.0,-0.17055077850818634,1.7081403527186012e-06,0.0
bounded_mean,10000,z,131072,0.4151763916015625,0.03570556640625,0.3794708251953125,0.0,0.0,0.7030355930328369,0.9927059412002563,0.8306698799133301,0.7106113433837891,1.0,0.4877868890762329,1.7081403527186012e-06,0.0
fx_only,10000,x,131072,0.365386962890625,0.0915069580078125,0.2738800048828125,0.00479888916015625,0.1485137939453125,0.37947574257850647,1.908523440361023,0.8394779562950134,0.7488580346107483,1.0023573637008667,0.2540901303291321,1.8203896381407958e-06,0.0
full_gaussian,11000,x,131072,0.285003662109375,0.10425567626953125,0.18074798583984375,0.0,0.018157958984375,0.15637695789337158,1.2753322124481201,0.8703794479370117,0.7858611345291138,1.0012257099151611,0.11794498562812805,2.8174220982890574e-06,0.0
full_gaussian,11000,z,131072,0.5568618774414062,0.04927825927734375,0.5075836181640625,0.0,0.54656982421875,1.0078978538513184,2.8362762928009033,0.8933416604995728,0.78052818775177,1.0001777410507202,0.5375650525093079,2.8174220982890574e-06,0.0
bounded_mean,11000,x,131072,0.30194091796875,0.22008514404296875,0.08185577392578125,0.0,0.0,-0.2945021390914917,0.901459813117981,0.8619033098220825,0.7648745179176331,1.0005757808685303,-0.2151210755109787,1.2997454881258363e-06,0.0
bounded_mean,11000,z,131072,0.4315948486328125,0.06551361083984375,0.36608123779296875,0.0,0.0,0.6147089600563049,0.9919881224632263,0.859089732170105,0.7582409381866455,1.0,0.40917879343032837,1.2997454881258363e-06,0.0
fx_only,11000,x,131072,0.315643310546875,0.17031097412109375,0.14533233642578125,0.000396728515625,0.0117950439453125,-0.051705747842788696,1.2524266242980957,0.8747086524963379,0.7602199912071228,1.0061891078948975,-0.03336711600422859,1.095434692288677e-06,0.0
