variant,training_seed,budget,scope,cases,completed,quality_successes,mean_velocity_rmse_mps,mean_tail_velocity_rmse_mps,mean_clearance_rmse_m,mean_episode_return
full_gaussian,9000,131072,all_24_final_development_cases,24,24,14,0.098856763513902,0.07362702001700627,0.014897492889994373,1511.1570490628922
bounded_mean,9000,131072,all_24_final_development_cases,24,24,13,0.10066148256668621,0.07617879180831015,0.01452761680808135,1528.2878590835362
fx_only,9000,131072,all_24_final_development_cases,24,24,13,0.09918975399954544,0.07497895403395412,0.01325858284171263,1537.3584927061072
full_gaussian,10000,131072,all_24_final_development_cases,24,24,13,0.09704272680877808,0.0768191528281174,0.01063774091908339,1549.1405060250634
bounded_mean,10000,131072,all_24_final_development_cases,24,24,13,0.09822078339692115,0.0750391213035329,0.013871964777495284,1544.653673887238
fx_only,10000,131072,all_24_final_development_cases,24,24,13,0.09882297770476252,0.07466063738408758,0.013264979680363595,1542.5155883398438
full_gaussian,11000,131072,all_24_final_development_cases,24,24,13,0.09771217902334839,0.07527443463298576,0.011546117148618496,1553.9780516704507
bounded_mean,11000,131072,all_24_final_development_cases,24,24,13,0.09772652994350788,0.07507712729996022,0.010807243412050594,1549.4169641095993
fx_only,11000,131072,all_24_final_development_cases,24,24,13,0.09845102119617376,0.07359448945386177,0.013267236016870071,1545.2517458347595
