zone,baseline,state_estimation_mode,latency_compensation,evaluation_seed,success,distance_m,maximum_height_m,minimum_wheel_contacts,four_wheel_contact_ratio,max_abs_roll_deg,max_abs_pitch_deg,torque_saturation_ratio,step_time_p95_ms,compensation_applied_ratio,compensation_horizon_p95_ms,compensation_rejected_steps,completed_jumps,cleared_hurdles,jump_height_gain_m,safety_interventions
start,lqr,oracle,none,0,1,1.3170892852059304,0.4945694985340867,1,0.9171428571428571,2.481552336946805,6.22941854609406,0.0,1.624362500297137,0.0,0.0,0,0,0,0.0395694985340867,0
rough,lqr,oracle,none,0,1,2.824616100740158,0.4913262514211737,1,0.67625,2.515238819819629,6.594394567499475,0.0,1.718721888028085,0.0,0.0,0,0,0,0.03632625142117368,0
ramp,lqr,oracle,none,0,1,4.88983615692485,0.6479701615072877,2,0.9907692307692307,0.042083578667943274,10.491943216763744,0.0,1.3260542102216277,0.0,0.0,0,0,0,0.19297016150728769,0
stairs,lqr,oracle,none,0,1,4.0718033385569266,0.5250750699010316,1,0.7069230769230769,2.5216643214124064,7.812763783427083,0.0002403846153846154,1.6038558998843655,0.0,0.0,0,0,0,0.07007506990103157,0
bumps,lqr,oracle,none,0,1,5.36753330494539,0.48306888538289566,1,0.7421428571428571,1.6335456547520621,5.065989580634312,0.0,1.4523419398756232,0.0,0.0,0,0,0,0.028068885382895647,0
jump,lqr,oracle,none,0,1,2.978768466992353,0.523341604942052,0,0.851,3.110701980412419,10.722470491201165,0.0,1.3009388923819643,0.0,0.0,0,1,2,0.06834160494205194,0
