time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/learning_rate,train/std,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/policy_gradient_loss
199,1,0,32,,,,,,,,,,,
195,2,0,64,0.0003,0.1353352963924408,-0.3341083526611328,4.648491382598877,0.2,1,0.04521705210208893,0.0,0.022608555853366852,0.0,2.9802322387695312e-08
199,3,0,96,0.0003,0.13533030450344086,-0.48543262481689453,4.648491382598877,0.2,2,0.03761225938796997,0.0,0.01880618929862976,0.0,5.960464477539063e-08
201,4,0,128,0.0003,0.13532662391662598,-0.1144934892654419,4.6487884521484375,0.2,3,0.020857617259025574,0.0,0.010428845882415771,0.0,3.725290298461914e-08
202,5,0,160,0.0003,0.13532696664333344,-0.3091864585876465,4.649005889892578,0.2,4,0.037683431059122086,0.0,0.018841708078980446,0.0,-7.450580596923828e-09
204,6,0,192,0.0003,0.1353233903646469,-0.7281537055969238,4.648986339569092,0.2,5,0.027620946988463402,0.0,0.013810480944812298,0.0,7.450580596923828e-09
205,7,1,224,0.0003,0.13532312214374542,-0.5438781976699829,4.649197101593018,0.2,6,0.03161794692277908,0.0,0.015808943659067154,0.0,-2.9802322387695312e-08
207,8,1,256,0.0003,0.13532057404518127,-0.3594522476196289,4.649213790893555,0.2,7,0.027211882174015045,0.0,0.013605926185846329,0.0,-1.4901161193847656e-08
,,,,0.0003,0.135316863656044,-0.48161375522613525,4.649364948272705,0.2,8,0.030302833765745163,0.0,0.01515161618590355,0.0,1.993030309677124e-07
