model,actual_transitions,time_s,completed_duration,terminal_reason,velocity_rmse_mps,height_rmse_m,heading_rmse_rad,heading_peak_rad,cross_track_peak_m,cross_track_final_m,nonwheel_contact_steps,task_return,servo_command_return,heading_goal_return,max_abs_actual_roll_rad,max_abs_actual_pitch_rad
seed49001_step16384,2804,28.039999999995338,False,map_boundary,0.09165074272998083,0.01418614459623459,0.016158835523798685,0.025397334473451428,0.09229145187293343,-0.09229145187293343,0,45.007519365782834,45.47812335955807,-0.47060399377508405,0.019768335088064738,0.12082730755597168
seed49001_step65536,3200,31.999999999993143,True,time_limit,0.04652952694330032,0.012154383656756949,0.0041637755162924565,0.026477793730887024,0.023140148036084954,-0.005690444416590755,0,59.905596588311504,59.94155360334761,-0.035957015036209426,0.051277965003489974,0.09774606215141128
seed49002_step16384,2891,28.909999999994856,False,map_boundary,0.07686960715959106,0.0027566987519714167,0.005755877593628969,0.016834604290876482,0.048789363974799646,0.048789363974799646,0,51.08743406887686,51.149989483218384,-0.06255541434160865,0.034464667468340635,0.09546973824723907
seed49002_step65536,3200,31.999999999993143,True,time_limit,0.04647476105051235,0.009062521309727177,0.011244112077508682,0.025239707024766585,0.04667898874728957,0.04667898874728957,0,59.63492999775893,59.89728254566282,-0.26235254790393225,0.06340112020141862,0.16215034238735399
seed49003_step16384,3200,31.999999999993143,True,time_limit,0.04617902603952327,0.01330852710435258,0.004504647034479339,0.014391426899901829,0.04175333578210694,0.027380618955006594,0,59.417326065286424,59.4598411629422,-0.042515097655937195,0.07916172478620327,0.102960953187309
seed49003_step65536,3200,31.999999999993143,True,time_limit,0.034296743030285945,0.008532448408582355,0.0126353430137201,0.038788828941941925,0.07769775518987254,-0.025321579965584987,0,60.16236213052955,60.49258562560925,-0.33022349507979376,0.11369188701851247,0.08881342439785556
zero,3200,31.999999999993143,True,time_limit,0.039971600772449635,0.01110233981754386,0.0012430252266472006,0.004956832575754223,0.00855106478690091,0.0005684209821196404,0,60.9043491178143,60.907593996144634,-0.0032448783302412164,0.01645689092790638,0.09966261950223193
