controller,scenario,evaluation_seed,state_estimation_mode,latency_compensation,initial_state_fingerprint,initial_command_fingerprint,push_schedule_fingerprint,state_age_mean_ms,state_age_p95_ms,state_age_max_ms,compensation_horizon_p95_ms,compensation_applied_ratio,compensation_rejected_ratio,action_delay_steps,state_delay_steps,sensor_noise_scale,state_estimator_seed,base_mass_scale,damping_scale,friction_scale,actuator_strength_scale,success,episode_steps,episode_duration_s,velocity_rmse_mps,pitch_rmse_deg,max_abs_pitch_deg,height_rmse_mm,normalized_torque_rms,mean_abs_mechanical_power_w,torque_saturation_ratio,residual_action_rms,residual_action_delta_rms,mean_residual_longitudinal_force_n,mean_residual_vertical_force_n,four_wheel_contact_ratio,undesired_contact_steps,mean_reward,solve_p95_ms,raw_position_estimation_rmse_m,control_position_estimation_rmse_m,raw_pitch_estimation_rmse_deg,control_pitch_estimation_rmse_deg,raw_velocity_estimation_rmse_mps,control_velocity_estimation_rmse_mps
D1 LQR+VMC,randomized,126,estimated,constant_velocity,42d8e017dfbb20e42039438547d6cc422dd918886ce3a0e4b0e83520f12bf248,7e34e269b9e4c594bb8f35e9d4a3172a2706dc0dbf9e4a7f6646ccc74f04a7d2,4368ac9633458cadbb1cf90e6687b644fae3ec826c6cfd36abd6148a71e0569c,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1674426195,0.9013587367131051,1.2237911483370425,0.6929830915399516,1.0458088405818775,1,600,6.0,0.37201831808016267,1.727592464540885,4.9361415437781195,9.336745453979754,0.26982291979728246,325.59024094336684,0.0,0.0,0.0,0.0,0.0,0.695,0,3.3881434939866955,0.0,0.0,0.0,0.0,0.0,4.785318238604873e-16,4.785318238604873e-16
D1 MPC+VMC,randomized,126,estimated,constant_velocity,42d8e017dfbb20e42039438547d6cc422dd918886ce3a0e4b0e83520f12bf248,7e34e269b9e4c594bb8f35e9d4a3172a2706dc0dbf9e4a7f6646ccc74f04a7d2,4368ac9633458cadbb1cf90e6687b644fae3ec826c6cfd36abd6148a71e0569c,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1674426195,0.9013587367131051,1.2237911483370425,0.6929830915399516,1.0458088405818775,1,600,6.0,0.3103261159090238,1.7035251181741857,6.663194275647477,8.621530654742426,0.2728524338797841,322.52110838928326,0.0004166666666666667,0.0,0.0,0.0,0.0,0.7066666666666667,0,3.675952232806577,0.34648860237211904,0.0,0.0,0.0,0.0,5.356186143211425e-16,5.356186143211425e-16
D1 LQR+VMC,randomized,127,estimated,constant_velocity,1a849d84f1be26e1e6f2c3be0da641635190738d1d167c6cec18c5fa01ac4b20,a62c253f96362a1932f78e665abbdd76f1d8b14ac646a1581a89059be1307721,5442a6cf68dc2c9e2969d106d711d003a04b7fb1b08d819a1b64e45f42bb758b,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1970055044,0.9137426449013422,0.8943347555404323,0.8445661120289889,1.032011400718582,1,600,6.0,0.44682217618744435,2.0376685036299884,5.77920202496915,10.258510627934033,0.2592426778658238,297.19639804063945,0.0,0.0,0.0,0.0,0.0,0.7316666666666667,0,3.0421425878711066,0.0,0.0,0.0,0.0,0.0,3.5729613197977297e-16,3.5729613197977297e-16
D1 MPC+VMC,randomized,127,estimated,constant_velocity,1a849d84f1be26e1e6f2c3be0da641635190738d1d167c6cec18c5fa01ac4b20,a62c253f96362a1932f78e665abbdd76f1d8b14ac646a1581a89059be1307721,5442a6cf68dc2c9e2969d106d711d003a04b7fb1b08d819a1b64e45f42bb758b,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1970055044,0.9137426449013422,0.8943347555404323,0.8445661120289889,1.032011400718582,1,600,6.0,0.4364417143998243,2.4205511886275635,9.432731225099836,10.919714103572295,0.26310153041880396,286.91415859332125,0.0,0.0,0.0,0.0,0.0,0.705,0,3.161764320574367,0.5101911090605422,0.0,0.0,0.0,0.0,4.862009819974222e-16,4.862009819974222e-16
D1 LQR+VMC,randomized,128,estimated,constant_velocity,e2883873ba146e24e621af690cd24a6fb2cb64fe0d1883997e4b469ea99f21f7,83afc90a16a7011b633737ed84c6fb0050114b95c3a0e43580bfe50e30db52d3,f264bc56105f346b743ed9cc737b447d90e0ad7b0e40a4e50b989527a8dace15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1868001214,1.045019446205385,1.012452313136684,0.9318185060008339,0.9307867869801847,1,600,6.0,0.3698192495419978,1.8155486395745375,4.00970164870387,12.621957393726616,0.27995204707463245,376.7128287754442,0.0,0.0,0.0,0.0,0.0,0.7266666666666667,0,3.1571973194817313,0.0,0.0,0.0,0.0,0.0,3.7216073031205546e-16,3.7216073031205546e-16
D1 MPC+VMC,randomized,128,estimated,constant_velocity,e2883873ba146e24e621af690cd24a6fb2cb64fe0d1883997e4b469ea99f21f7,83afc90a16a7011b633737ed84c6fb0050114b95c3a0e43580bfe50e30db52d3,f264bc56105f346b743ed9cc737b447d90e0ad7b0e40a4e50b989527a8dace15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1868001214,1.045019446205385,1.012452313136684,0.9318185060008339,0.9307867869801847,1,600,6.0,0.35323575026818926,1.9065550588455018,5.776221160291543,13.27843338341067,0.2807995716243969,347.72492606976084,0.0,0.0,0.0,0.0,0.0,0.7766666666666666,0,3.3154941378122604,0.39694115257589146,0.0,0.0,0.0,0.0,5.074941088474695e-16,5.074941088474695e-16
D1 LQR+VMC,randomized,129,estimated,constant_velocity,17e0941321db741d72fa01bdd838576f58ebcf57b4b46c5edffc1e263ebf3fd8,6496453d5a69277a86195d7bfdbbe46fbe2670ee348b85071fecbe32c5511a2c,d434493f82dd146ecf9d5efde69e8b1b6c67918401d4b091968f789d59678a88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,416791227,0.9845496018142563,0.9052567452854112,1.2337830868118964,1.0285116701786272,1,600,6.0,0.41086502924931245,1.890370522873601,7.723254863104382,12.791415706778604,0.21588152751425968,114.89250054903937,0.0,0.0,0.0,0.0,0.0,0.9533333333333334,0,3.263635597969228,0.0,0.0,0.0,0.0,0.0,5.910310538308727e-16,5.910310538308727e-16
D1 MPC+VMC,randomized,129,estimated,constant_velocity,17e0941321db741d72fa01bdd838576f58ebcf57b4b46c5edffc1e263ebf3fd8,6496453d5a69277a86195d7bfdbbe46fbe2670ee348b85071fecbe32c5511a2c,d434493f82dd146ecf9d5efde69e8b1b6c67918401d4b091968f789d59678a88,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,416791227,0.9845496018142563,0.9052567452854112,1.2337830868118964,1.0285116701786272,1,600,6.0,0.37331553105941356,2.334589081904591,10.588963733254088,13.11302279016837,0.22055428392701185,121.54850390591042,0.0,0.0,0.0,0.0,0.0,0.905,0,3.4592141288865506,0.3719194057339337,0.0,0.0,0.0,0.0,6.279132731463293e-16,6.279132731463293e-16
D1 LQR+VMC,randomized,130,estimated,constant_velocity,982481780d3b1840d7766756d15388d94fd964f0a4d4a6ca198ddd2c21004bfd,f26470b0ae52d06a3a61c0b168230e39b8d37486347b1db9b1a210d0dcdc7dd7,316f9e50677b0e2563516cf65a5d247cd9025f2f98bfa1770e678d0d98c3ca02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,893793182,0.9997216871705642,0.8351152271187723,0.8488619829931543,0.9314115641439593,1,600,6.0,0.3547846191642844,1.46001265702829,3.1380038901923055,11.221906733899845,0.28203417308700074,447.62756571942543,0.0,0.0,0.0,0.0,0.0,0.6,0,3.318531982520561,0.0,0.0,0.0,0.0,0.0,4.474084500961981e-16,4.474084500961981e-16
D1 MPC+VMC,randomized,130,estimated,constant_velocity,982481780d3b1840d7766756d15388d94fd964f0a4d4a6ca198ddd2c21004bfd,f26470b0ae52d06a3a61c0b168230e39b8d37486347b1db9b1a210d0dcdc7dd7,316f9e50677b0e2563516cf65a5d247cd9025f2f98bfa1770e678d0d98c3ca02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,893793182,0.9997216871705642,0.8351152271187723,0.8488619829931543,0.9314115641439593,1,600,6.0,0.3538132538414034,1.71542818252049,3.854128124990816,10.137964822871746,0.28728732523430606,459.7673196615209,0.0,0.0,0.0,0.0,0.0,0.6016666666666667,0,3.408413491748037,0.37368400735431345,0.0,0.0,0.0,0.0,5.924205345081743e-16,5.924205345081743e-16
D1 LQR+VMC,randomized,131,estimated,constant_velocity,76a27ea5906881f1d5b69ae47404917d0e486cb7c9e885c53efb0caa35b76639,ff5ad5fec0545ac41879319246e8552be77ad07bff5dc7f83e087c1ca46f6150,139f4bd89952f52e6be1011033bc41e4cca6e55c0c59dc6fa73052dcedb7def1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1688742133,1.0422219766542375,1.070517012206352,0.9960171566159062,0.8798084705107636,1,600,6.0,0.2530593440274357,1.319895152484568,3.785930380400486,9.289487443856354,0.21423897333205094,105.78147087576082,0.0,0.0,0.0,0.0,0.0,0.9783333333333334,0,3.5628800208000486,0.0,0.0,0.0,0.0,0.0,5.642861228519062e-16,5.642861228519062e-16
D1 MPC+VMC,randomized,131,estimated,constant_velocity,76a27ea5906881f1d5b69ae47404917d0e486cb7c9e885c53efb0caa35b76639,ff5ad5fec0545ac41879319246e8552be77ad07bff5dc7f83e087c1ca46f6150,139f4bd89952f52e6be1011033bc41e4cca6e55c0c59dc6fa73052dcedb7def1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1688742133,1.0422219766542375,1.070517012206352,0.9960171566159062,0.8798084705107636,1,600,6.0,0.24144326698592922,1.8021450084518356,5.341896187697313,10.302230364500137,0.2191734250527985,98.65413638183598,0.0,0.0,0.0,0.0,0.0,0.9616666666666667,0,3.6092232771450092,0.3469114395556971,0.0,0.0,0.0,0.0,5.9257844272937e-16,5.9257844272937e-16
