controller,state_delay_ms,metric,unit,episodes,estimate,ci95_low,ci95_high,delta_vs_0ms,delta_ci95_low,delta_ci95_high,ci_method,delta_ci_method
D1 LQR+VMC,10,state_age_p95_ms,ms,30,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,mean t,paired t
D1 LQR+VMC,10,state_age_max_ms,ms,30,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,mean t,paired t
D1 LQR+VMC,10,compensation_horizon_p95_ms,ms,30,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,mean t,paired t
D1 LQR+VMC,10,compensation_applied_ratio,ratio,30,0.9991111111111112,0.998235040311332,0.9999871819108903,0.9991111111111112,0.998235040311332,0.9999871819108903,mean t,paired t
D1 LQR+VMC,10,compensation_rejected_ratio,ratio,30,0.0008888888888888888,1.2818089109741231e-05,0.0017649596886680364,0.0008888888888888888,1.2818089109741231e-05,0.0017649596886680364,mean t,paired t
D1 LQR+VMC,10,raw_position_estimation_rmse_m,m,30,0.0024562488963279856,0.0021914057216033574,0.002721092071052614,0.0024562488963279856,0.0021914057216033574,0.002721092071052614,mean t,paired t
D1 LQR+VMC,10,control_position_estimation_rmse_m,m,30,0.00020849802906451725,0.00016547514207636543,0.0002515209160526691,0.00020849802906451725,0.00016547514207636543,0.0002515209160526691,mean t,paired t
D1 LQR+VMC,10,raw_pitch_estimation_rmse_deg,deg,30,0.2547822951541816,0.23435697699091,0.27520761331745325,0.2547822951541816,0.23435697699091,0.27520761331745325,mean t,paired t
D1 LQR+VMC,10,control_pitch_estimation_rmse_deg,deg,30,0.032696289519529215,0.028884198085617485,0.036508380953440944,0.032696289519529215,0.028884198085617485,0.036508380953440944,mean t,paired t
D1 LQR+VMC,10,raw_velocity_estimation_rmse_mps,m/s,30,0.021526295289479854,0.020296500301416595,0.022756090277543113,0.021526295289479438,0.020296500301416186,0.02275609027754269,mean t,paired t
D1 LQR+VMC,10,control_velocity_estimation_rmse_mps,m/s,30,0.02179250100103918,0.020538035378996525,0.023046966623081838,0.021792501001038776,0.020538035378996126,0.023046966623081425,mean t,paired t
D1 LQR+VMC,10,residual_action_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,residual_action_delta_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,mean_residual_longitudinal_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,mean_residual_vertical_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,success,ratio,30,0.36666666666666664,0.21873920806100708,0.5448643634520511,-0.6333333333333333,-0.8,-0.4666666666666667,Wilson score,paired bootstrap
D1 LQR+VMC,20,episode_duration_s,s,30,3.9309999999999996,3.2299063567830606,4.632093643216939,-2.069,-2.770093643216939,-1.367906356783061,mean t,paired t
D1 LQR+VMC,20,mean_reward,reward/step,30,1.936240186400546,1.7860320314531024,2.0864483413479897,-1.5181638317251802,-1.6550689858419085,-1.381258677608452,mean t,paired t
D1 LQR+VMC,20,velocity_rmse_mps,m/s,30,0.4432290328745907,0.38626525035491216,0.5001928153942692,0.13656360680458451,0.08990457442436883,0.1832226391848002,mean t,paired t
D1 LQR+VMC,20,pitch_rmse_deg,deg,30,12.387556584446148,11.379790850216988,13.395322318675309,11.085490650997055,10.101670218077324,12.069311083916787,mean t,paired t
D1 LQR+VMC,20,max_abs_pitch_deg,deg,30,37.163799930780506,33.775977764336545,40.55162209722447,33.41012784579097,29.939815697604622,36.88043999397731,mean t,paired t
D1 LQR+VMC,20,height_rmse_mm,mm,30,38.992329268114766,33.61349060251804,44.37116793371149,28.815550088216693,23.46119559497152,34.169904581461864,mean t,paired t
D1 LQR+VMC,20,normalized_torque_rms,ratio,30,0.43476213621718546,0.4275199085895337,0.4420043638448372,0.19997584640411023,0.1893241137645628,0.21062757904365767,mean t,paired t
D1 LQR+VMC,20,mean_abs_mechanical_power_w,W,30,3503.662481302522,3296.758893279068,3710.5660693259756,3327.7051151283667,3127.81060864946,3527.5996216072735,mean t,paired t
D1 LQR+VMC,20,torque_saturation_ratio,ratio,30,0.05281571499868761,0.04926638085902023,0.056365049138354995,0.05281571499868761,0.04926638085902023,0.056365049138354995,mean t,paired t
D1 LQR+VMC,20,four_wheel_contact_ratio,ratio,30,0.09001576611331846,0.06455510107678082,0.1154764311498561,-0.8078175672200149,-0.8606081592986836,-0.7550269751413461,mean t,paired t
D1 LQR+VMC,20,undesired_contact_steps,steps,30,0.6,-0.009243777639375339,1.2092437776393754,0.6,-0.009243777639375339,1.2092437776393754,mean t,paired t
D1 LQR+VMC,20,solve_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,state_age_mean_ms,ms,30,19.96622828028844,19.959084718750034,19.973371841826847,19.96622828028844,19.959084718750034,19.973371841826847,mean t,paired t
D1 LQR+VMC,20,state_age_p95_ms,ms,30,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,mean t,paired t
D1 LQR+VMC,20,state_age_max_ms,ms,30,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,mean t,paired t
D1 LQR+VMC,20,compensation_horizon_p95_ms,ms,30,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,mean t,paired t
D1 LQR+VMC,20,compensation_applied_ratio,ratio,30,0.3289330738376232,0.2957358990559095,0.3621302486193369,0.3289330738376232,0.2957358990559095,0.3621302486193369,mean t,paired t
D1 LQR+VMC,20,compensation_rejected_ratio,ratio,30,0.6710669261623768,0.6378697513806632,0.7042641009440905,0.6710669261623768,0.6378697513806632,0.7042641009440905,mean t,paired t
D1 LQR+VMC,20,raw_position_estimation_rmse_m,m,30,0.00677585765458613,0.006106766249123109,0.007444949060049151,0.00677585765458613,0.006106766249123109,0.007444949060049151,mean t,paired t
D1 LQR+VMC,20,control_position_estimation_rmse_m,m,30,0.005952283305145483,0.005334063442625853,0.006570503167665113,0.005952283305145483,0.005334063442625853,0.006570503167665113,mean t,paired t
D1 LQR+VMC,20,raw_pitch_estimation_rmse_deg,deg,30,2.5834904436267783,2.4625075545077197,2.704473332745837,2.5834904436267783,2.4625075545077197,2.704473332745837,mean t,paired t
D1 LQR+VMC,20,control_pitch_estimation_rmse_deg,deg,30,2.3056826961198316,2.1737218253650568,2.4376435668746064,2.3056826961198316,2.1737218253650568,2.4376435668746064,mean t,paired t
D1 LQR+VMC,20,raw_velocity_estimation_rmse_mps,m/s,30,0.1133288911011719,0.10604255540318169,0.12061522679916212,0.11332889110117149,0.10604255540318128,0.1206152267991617,mean t,paired t
D1 LQR+VMC,20,control_velocity_estimation_rmse_mps,m/s,30,0.11357319270015327,0.10636105311134951,0.12078533228895703,0.11357319270015286,0.1063610531113491,0.12078533228895662,mean t,paired t
D1 LQR+VMC,20,residual_action_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,residual_action_delta_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,mean_residual_longitudinal_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,mean_residual_vertical_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,success,ratio,30,0.0,0.0,0.11351339317396876,-1.0,-1.0,-1.0,Wilson score,paired bootstrap
D1 LQR+VMC,30,episode_duration_s,s,30,0.8099999999999998,0.6841984537955509,0.9358015462044488,-5.1899999999999995,-5.315801546204448,-5.064198453795551,mean t,paired t
D1 LQR+VMC,30,mean_reward,reward/step,30,2.011987480087083,1.8032559289624774,2.2207190312116887,-1.4424165380386436,-1.6484295528560293,-1.2364035232212578,mean t,paired t
D1 LQR+VMC,30,velocity_rmse_mps,m/s,30,0.4078976427185505,0.3505941182036235,0.4652011672334775,0.10123221664854429,0.03971577060869862,0.16274866268838994,mean t,paired t
D1 LQR+VMC,30,pitch_rmse_deg,deg,30,10.718844704013657,8.46724084010906,12.970448567918254,9.41677877056456,7.120712153887933,11.712845387241188,mean t,paired t
D1 LQR+VMC,30,max_abs_pitch_deg,deg,30,26.79915367836527,21.4193088140865,32.17899854264404,23.045481593375722,17.569437836990115,28.52152534976133,mean t,paired t
D1 LQR+VMC,30,height_rmse_mm,mm,30,34.19500865047947,26.47616042592424,41.91385687503471,24.018229470581392,16.138151508315588,31.898307432847197,mean t,paired t
D1 LQR+VMC,30,normalized_torque_rms,ratio,30,0.43910282806416057,0.42621603653436413,0.451989619593957,0.20431653825108534,0.18648232138538018,0.2221507551167905,mean t,paired t
D1 LQR+VMC,30,mean_abs_mechanical_power_w,W,30,3468.3372860757063,3094.8453451722,3841.8292269792128,3292.3799199015516,2911.103925193871,3673.6559146092322,mean t,paired t
D1 LQR+VMC,30,torque_saturation_ratio,ratio,30,0.07259823457019701,0.06575815949031506,0.07943830965007896,0.07259823457019701,0.06575815949031506,0.07943830965007896,mean t,paired t
D1 LQR+VMC,30,four_wheel_contact_ratio,ratio,30,0.21838602068381838,0.1862904447828402,0.2504815965847965,-0.679447312649515,-0.7407405544576656,-0.6181540708413643,mean t,paired t
D1 LQR+VMC,30,undesired_contact_steps,steps,30,1.4,0.35483076964297267,2.445169230357027,1.4,0.35483076964297267,2.445169230357027,mean t,paired t
D1 LQR+VMC,30,solve_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,state_age_mean_ms,ms,30,29.57840452167526,29.52796915362343,29.62883988972709,29.57840452167526,29.52796915362343,29.62883988972709,mean t,paired t
D1 LQR+VMC,30,state_age_p95_ms,ms,30,30.00000000000002,30.000000000000018,30.000000000000025,30.00000000000002,30.000000000000018,30.000000000000025,mean t,paired t
D1 LQR+VMC,30,state_age_max_ms,ms,30,30.00000000000002,30.000000000000018,30.000000000000025,30.00000000000002,30.000000000000018,30.000000000000025,mean t,paired t
D1 LQR+VMC,30,compensation_horizon_p95_ms,ms,30,30.00000000000002,30.000000000000018,30.000000000000025,30.00000000000002,30.000000000000018,30.000000000000025,mean t,paired t
D1 LQR+VMC,30,compensation_applied_ratio,ratio,30,0.4178095698428062,0.37157295065930485,0.46404618902630757,0.4178095698428062,0.37157295065930485,0.46404618902630757,mean t,paired t
D1 LQR+VMC,30,compensation_rejected_ratio,ratio,30,0.5821904301571939,0.5359538109736924,0.6284270493406953,0.5821904301571939,0.5359538109736924,0.6284270493406953,mean t,paired t
D1 LQR+VMC,30,raw_position_estimation_rmse_m,m,30,0.009647926529061067,0.008339725321458175,0.010956127736663959,0.009647926529061067,0.008339725321458175,0.010956127736663959,mean t,paired t
D1 LQR+VMC,30,control_position_estimation_rmse_m,m,30,0.009346462654202154,0.007994965653324063,0.010697959655080245,0.009346462654202154,0.007994965653324063,0.010697959655080245,mean t,paired t
D1 LQR+VMC,30,raw_pitch_estimation_rmse_deg,deg,30,3.3305432058753652,2.8379045763660384,3.823181835384692,3.3305432058753652,2.8379045763660384,3.823181835384692,mean t,paired t
D1 LQR+VMC,30,control_pitch_estimation_rmse_deg,deg,30,3.2608781625996444,2.7592024138607756,3.762553911338513,3.2608781625996444,2.7592024138607756,3.762553911338513,mean t,paired t
D1 LQR+VMC,30,raw_velocity_estimation_rmse_mps,m/s,30,0.1916279363313049,0.17060905838409665,0.21264681427851315,0.19162793633130445,0.1706090583840962,0.2126468142785127,mean t,paired t
