# {"config": {"dt": 0.002, "kind": "wheel", "torque_limit_nm": 2.0}, "initial_command_history": "zero", "initial_state": "known_rest", "known_initial_rest": true, "name": "calibration_0", "sampling": "position_then_command_then_next_position", "schema": "encoder_position_only", "schema_version": 1, "split": "calibration"}
time_s,command_torque_nm,position_rad,next_position_rad
0.0,0.0,0.0002202524907011694,-0.0001079943030507007
0.002,0.0020136267223173797,-0.0001079943030507007,-0.0003789242539678511
0.004,0.004033233967048353,-0.0003789242539678511,-0.00016211341990232057
0.006,0.006058769554950871,-0.00016211341990232057,-4.397224915648062e-05
0.008,0.008090180381304015,-4.397224915648062e-05,-0.00045378193783552733
0.01,0.010127412410430385,-0.00045378193783552733,-0.0004016824425167559
0.012,0.012170410670259268,-0.0004016824425167559,0.00012503931667432708
0.014,0.014219119246931792,0.00012503931667432708,0.0002800151461399007
0.016,0.01627348127944934,0.0002800151461399007,0.00015543362248242497
0.018000000000000002,0.018333438954366465,0.00015543362248242497,0.00024380192649244302
0.02,0.02039893350052946,0.00024380192649244302,-0.00014825986956972707
0.022,0.022469905183862073,-0.00014825986956972707,0.00011206919077551194
0.024,0.024546293302199387,0.00011206919077551194,-0.0004018048801203925
0.026000000000000002,0.02662803618017134,-0.0004018048801203925,-0.0003665001675387968
0.028,0.02871507116413713,-0.0003665001675387968,-0.0001718250622992602
0.03,0.030807334617171823,-0.0001718250622992602,0.00045910558911176514
0.032,0.032904761914106455,0.00045910558911176514,3.981379099591373e-05
0.034,0.03500728743662303,3.981379099591373e-05,6.441986084252368e-05
0.036000000000000004,0.03711484456840573,6.441986084252368e-05,-6.878823216084905e-05
0.038,0.03922736569034968,-6.878823216084905e-05,0.00026080308412143854
0.04,0.04134478217582875,0.00026080308412143854,0.00018500541973102432
0.042,0.043467024386023484,0.00018500541973102432,0.00034575699551644946
0.044,0.045594021665310985,0.00034575699551644946,-3.9189860205271075e-06
0.046,0.04772570233671786,-3.9189860205271075e-06,0.0004012033623260322
0.048,0.049861993697437566,0.0004012033623260322,0.00017042313090587444
0.05,0.05200282201441402,0.00017042313090587444,0.00019944541435242772
0.052000000000000005,0.0541481125199923,0.00019944541435242772,0.00037364271023741655
0.054,0.05629778940763849,0.00037364271023741655,0.0006364387578804797
0.056,0.05845177582772975,0.0006364387578804797,0.00015413608694330203
0.058,0.060609993883416036,0.00015413608694330203,0.0006372036694842397
0.06,0.0627723646265554,0.0006372036694842397,0.0004536130271849826
0.062,0.06493880805372379,0.0004536130271849826,0.0006417661790149839
0.064,0.06710924310230125,0.0006417661790149839,0.0005906133322164072
0.066,0.06928358764663599,0.0005906133322164072,0.000504757253995588
0.068,0.07146175849428753,0.000504757253995588,0.0005173314096097467
0.07,0.07364367138235094,0.0005173314096097467,0.0005301780263642212
0.07200000000000001,0.07582924097386327,0.0005301780263642212,0.0005000466460280061
0.074,0.07801838085429413,0.0005000466460280061,0.0007248331983873999
0.076,0.0802110035281216,0.0007248331983873999,0.0009498546687548443
0.078,0.08240702041549527,0.0009498546687548443,0.0014695413796013332
0.08,0.084606341848988,0.0014695413796013332,0.000822769684360072
0.082,0.08680887707043788,0.000822769684360072,0.0012948566560733892
0.084,0.08901453422788198,0.0012948566560733892,0.0013272102237450315
0.08600000000000001,0.09122322037258385,0.0013272102237450315,0.001454237573971182
