case,split,trajectory,model,position_rmse_rad,velocity_rmse_rad_s,low_speed_velocity_rmse_rad_s,low_speed_sample_count
wheel_matched,calibration,calibration_0,nominal,0.42023387499169995,0.7561433808283121,0.18589271904439617,206
wheel_matched,calibration,calibration_0,fitted,0.00021455805212404355,0.0020553892988941103,0.0020572563650839387,206
wheel_matched,calibration,calibration_1,nominal,0.1983450684583124,0.7031821916881376,0.18409019264844478,106
wheel_matched,calibration,calibration_1,fitted,0.0002924607139422869,0.002044389488655432,0.0022114231651179134,106
wheel_matched,validation,validation_2,nominal,0.22953431044419012,0.6511972769143816,0.19266018263078574,215
wheel_matched,validation,validation_2,fitted,0.0002300369649708189,0.0019968003857982666,0.002041979499398067,215
wheel_matched,holdout,holdout_3,nominal,0.2934006914466986,0.9263175680812308,0.15538662220731805,416
wheel_matched,holdout,holdout_3,fitted,0.0005739428140325699,0.0021424373128806485,0.002116430006637309,416
wheel_mismatch,calibration,calibration_0,nominal,0.4837315007335709,0.7940465572843621,0.28424454843401614,239
wheel_mismatch,calibration,calibration_0,fitted,0.012526445785714047,0.05437607583620899,0.07394319888531596,239
wheel_mismatch,calibration,calibration_1,nominal,0.21372756531083065,0.7259548500513945,0.21881064149826512,121
wheel_mismatch,calibration,calibration_1,fitted,0.015060210334040251,0.0591807700513272,0.026927442470859292,121
wheel_mismatch,validation,validation_2,nominal,0.24136555209705118,0.6670547809357922,0.18971647330943034,224
wheel_mismatch,validation,validation_2,fitted,0.016862881553026312,0.043396507740231446,0.06631412488050092,224
wheel_mismatch,holdout,holdout_3,nominal,0.31949064102929065,0.9298481619147911,0.3660214113762215,514
wheel_mismatch,holdout,holdout_3,fitted,0.0844094721707156,0.1408177897721328,0.15710921325156382,514
pendulum_matched,calibration,calibration_0,nominal,0.10550266396246323,0.6734445545236554,0.44718915844593826,275
pendulum_matched,calibration,calibration_0,fitted,0.00019962757629703385,0.002033787298479262,0.0019419970105781408,275
pendulum_matched,calibration,calibration_1,nominal,0.08944927683791837,0.42786433672570057,0.45179813726820195,246
pendulum_matched,calibration,calibration_1,fitted,0.00023303963380585197,0.00210348764343215,0.002472594141174798,246
pendulum_matched,validation,validation_2,nominal,0.060535144004157174,0.43429331504883145,0.25730736396850207,359
pendulum_matched,validation,validation_2,fitted,0.00020179986966152694,0.001983549436728496,0.002072517522652678,359
pendulum_matched,holdout,holdout_3,nominal,0.12538597218823339,0.8684890145942276,0.35997217708534995,305
pendulum_matched,holdout,holdout_3,fitted,0.00023050860519966792,0.0020082937028803533,0.0019005094389692905,305
pendulum_mismatch,calibration,calibration_0,nominal,0.11169661995922155,0.7013312377052222,0.46802006364560833,304
pendulum_mismatch,calibration,calibration_0,fitted,0.008003062325672087,0.05228899567910622,0.053427581704298996,304
pendulum_mismatch,calibration,calibration_1,nominal,0.10171063178026486,0.488607167933348,0.5362996636660861,295
pendulum_mismatch,calibration,calibration_1,fitted,0.008971033473895275,0.05186548633342345,0.06306918323090441,295
pendulum_mismatch,validation,validation_2,nominal,0.06218896151138728,0.44854585262794305,0.25912553701316127,375
pendulum_mismatch,validation,validation_2,fitted,0.002901107619248813,0.023711435282636337,0.02784804171245506,375
pendulum_mismatch,holdout,holdout_3,nominal,0.12689625837624963,0.8783509886349053,0.36209114904916573,310
pendulum_mismatch,holdout,holdout_3,fitted,0.00852172429214922,0.055093832427058204,0.04202634429084883,310
