metric,label,unit,preferred,pair_count,legacy_mean,constrained_mean,paired_delta,paired_delta_ci95_low,paired_delta_ci95_high
success,Episode success,ratio,higher,30,1.0,1.0,0.0,0.0,0.0
velocity_rmse_mps,Velocity RMSE,m/s,lower,30,0.31634234053384525,0.2398723006614608,-0.07647003987238442,-0.10379057321612087,-0.04914950652864796
pitch_rmse_deg,Pitch RMSE,deg,lower,30,1.4302300545253233,2.4290703380992764,0.9988402835739533,0.7472811090381946,1.250399458109712
max_abs_pitch_deg,Maximum absolute pitch,deg,lower,30,4.00300979196407,5.039612004293181,1.036602212329112,0.32115551901237227,1.752048905645852
height_rmse_mm,Height RMSE,mm,lower,30,9.967294662313828,12.111681234382122,2.1443865720682918,0.750503568795909,3.5382695753406743
normalized_torque_rms,Normalized torque RMS,ratio,lower,30,0.24514442747959803,0.23585113490455148,-0.009293292575046526,-0.022733370719164085,0.004146785569071033
torque_saturation_ratio,Torque saturation,ratio,lower,30,0.00012152777777777777,0.0035555555555555557,0.0034340277777777776,0.0013912769122312201,0.005476778643324335
four_wheel_contact_ratio,Four-wheel contact,ratio,higher,30,0.8670000000000001,0.673888888888889,-0.1931111111111111,-0.28886680076437266,-0.0973554214578495
partial_contact_ratio,Partial wheel contact,ratio,lower,30,0.13277777777777777,0.3245555555555556,0.19177777777777774,0.09618999642689448,0.287365559128661
undesired_contact_steps,Undesired-contact steps,steps,lower,30,0.0,0.0,0.0,0.0,0.0
mean_abs_mechanical_power_w,Mean absolute mechanical power,W,lower,30,223.05796399279856,163.17328466359103,-59.884679329207465,-107.58103589466683,-12.188322763748097
allocation_solve_p99_ms,Allocation solve-time P99,ms,lower,30,0.2983698560368187,3.918552143692977,3.6201822876561582,3.3048497314187273,3.935514843893589
allocation_constraint_violation_max,Allocation maximum constraint violation,ratio,lower,30,0.02284916733584772,9.877242062958227e-11,-0.0228491672370753,-0.0536184618007125,0.007920127326561898
allocation_force_error_rms_n,Requested-force residual RMS,N,lower,30,1.0247250054765618,62.42318600391672,61.39846099844017,50.55458698867117,72.24233500820917
allocation_moment_error_rms_nm,Requested-moment residual RMS,Nm,lower,30,65.93973966352645,8.14798811177277,-57.79175155175368,-59.47633112633561,-56.107171977171745
contact_force_model_error_rms_n,Allocated-to-physics force discrepancy RMS,N,lower,30,137.94919219258563,62.45356236255193,-75.49562983003369,-81.43274608081374,-69.55851357925364
contact_moment_model_error_rms_nm,Allocated-to-physics moment discrepancy RMS,Nm,lower,30,41.165762230928905,15.30637288973784,-25.859389341191072,-27.938414508704835,-23.78036417367731
contact_force_tracking_error_rms_n,Requested-to-physics force error RMS,N,lower,30,138.00053376142515,88.63512313029624,-49.36541063112893,-59.287040688110864,-39.443780574147
contact_moment_tracking_error_rms_nm,Requested-to-physics moment error RMS,Nm,lower,30,30.46194590247024,16.451826635929056,-14.01011926654118,-16.21293182257909,-11.80730671050327
allocation_converged_ratio,Allocation solver converged,ratio,higher,30,0.0,0.9917222222222222,0.9917222222222222,0.9884515394519888,0.9949929049924555
allocation_feasible_nonconverged_ratio,Allocation feasible but nonconverged,ratio,lower,30,0.0,0.006166666666666666,0.006166666666666666,0.003099693008044677,0.009233640325288655
allocation_fallback_ratio,Allocation fallback,ratio,lower,30,0.0,0.0,0.0,0.0,0.0
allocation_wrench_limited_ratio,Allocation wrench limited,ratio,lower,30,0.9994999999999999,0.23516666666666663,-0.7643333333333332,-0.8345355742916988,-0.6941310923749676
allocation_no_contact_ratio,Allocation no-contact,ratio,lower,30,0.0,0.0021111111111111113,0.0021111111111111113,0.001173194895277012,0.0030490273269452106
