pair_index,controller,scenario,evaluation_seed,state_estimation_mode,latency_compensation,contact_allocation,initial_state_fingerprint,initial_command_fingerprint,push_schedule_fingerprint,state_age_mean_ms,state_age_p95_ms,state_age_max_ms,compensation_horizon_p95_ms,compensation_applied_ratio,compensation_rejected_ratio,action_delay_steps,state_delay_steps,sensor_noise_scale,state_estimator_seed,base_mass_scale,damping_scale,friction_scale,actuator_strength_scale,success,episode_steps,episode_duration_s,velocity_rmse_mps,pitch_rmse_deg,max_abs_pitch_deg,height_rmse_mm,normalized_torque_rms,mean_abs_mechanical_power_w,torque_saturation_ratio,residual_action_rms,residual_action_delta_rms,mean_residual_longitudinal_force_n,mean_residual_vertical_force_n,four_wheel_contact_ratio,undesired_contact_steps,mean_reward,solve_p95_ms,allocation_solve_p95_ms,allocation_solve_p99_ms,allocation_constraint_violation_max,allocation_force_error_rms_n,allocation_moment_error_rms_nm,contact_force_model_error_rms_n,contact_moment_model_error_rms_nm,contact_force_tracking_error_rms_n,contact_moment_tracking_error_rms_nm,contact_wrench_physics_samples_min,contact_wrench_physics_samples_max,allocation_converged_ratio,allocation_feasible_nonconverged_ratio,allocation_fallback_ratio,allocation_wrench_limited_ratio,allocation_no_contact_ratio,allocation_legacy_ratio,allocation_not_run_ratio,raw_position_estimation_rmse_m,control_position_estimation_rmse_m,raw_pitch_estimation_rmse_deg,control_pitch_estimation_rmse_deg,raw_velocity_estimation_rmse_mps,control_velocity_estimation_rmse_mps,partial_contact_ratio
24,D1 LQR+VMC,randomized,145,oracle,none,constrained,fb7ce80d4627d5a68a06e355a7fddebe3b63c7cb1cdc1122a42c8084ce2a4de1,a928a4961e411582748ba78f0f3a471bfb7149c89891e66183931c146be67d66,4fc753d0ff59cfb753a1d26ae549ddd6f6127b893f2d13af9b76971eec16c74f,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.032138722449388,0.9208704170368199,1.2157391964787247,0.8918780256418402,1,600,6.0,0.2663514136474058,2.509628657525305,5.65977505666811,12.871654638129256,0.27410461751816434,271.39252017306285,0.011354166666666667,0.0,0.0,0.0,0.0,0.5383333333333333,0,3.3640969003049666,0.0,3.171858000177962,4.7273459399093545,1.9447800491745339e-10,76.83015639467804,12.792963363575945,77.30454040991437,22.00397322120346,110.09733604348247,23.676610341455238,5,5,0.9816666666666667,0.015,0.0,0.37333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46
25,D1 LQR+VMC,randomized,146,oracle,none,legacy,fe60999412439499e313326d7db7d1d7bf8017f0bebd866464547e7db0cd2bfb,f8a78618c5037e6fdabe4891163c0101f27eea2d7a5c9f32e2e5fa7865e773fa,30bd223300312656bf1e1f2c108447c1e68e74eaef3ff7987d98c676b0d4cc64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0761108894023355,0.9705705341216071,0.9262106578526572,0.917880647232726,1,600,6.0,0.5224827553944106,2.074337363160964,9.069847637693597,8.768596361006095,0.22616253085042967,121.72757061873926,0.0,0.0,0.0,0.0,0.0,0.9433333333333334,0,3.1778410945329076,0.0,0.2382953999131132,0.2678479502446862,0.0,10.630952955961197,65.47876451111613,130.44187294413805,39.2780343655512,131.1875323226315,29.69508844837715,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056666666666666664
25,D1 LQR+VMC,randomized,146,oracle,none,constrained,fe60999412439499e313326d7db7d1d7bf8017f0bebd866464547e7db0cd2bfb,f8a78618c5037e6fdabe4891163c0101f27eea2d7a5c9f32e2e5fa7865e773fa,30bd223300312656bf1e1f2c108447c1e68e74eaef3ff7987d98c676b0d4cc64,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0761108894023355,0.9705705341216071,0.9262106578526572,0.917880647232726,1,600,6.0,0.3927500455634022,3.0123867895382155,5.742412437209695,11.502716852146914,0.24765101566716993,128.1999139775528,0.0,0.0,0.0,0.0,0.0,0.815,0,3.1768592842343173,0.0,3.1476819495765076,3.764975299982324,1.4664722225897206e-11,43.75376137783239,5.979007935431145,58.8502819291687,15.181608193506687,75.51095389608597,15.746944072101478,5,5,0.9966666666666667,0.0033333333333333335,0.0,0.16833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185
26,D1 LQR+VMC,randomized,147,oracle,none,legacy,3a15e6d18f04a4d7695a649049e9fd39b4d68d6896986c47cb0ce2983bde40f6,b3e8d1cd4c6f8250ee9ad07e957ef1df79003e8fadcc56cc33749ba2f4ff969e,d34ff5d0f531442aa63425bb7e6e1dd167a27e7378cae21d9e4dce8220a14e69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.11768706988836,1.1519535828852017,1.0614676383973065,0.9600221712091143,1,600,6.0,0.28599115404188746,0.9531501510169397,2.0688038900921106,9.329709133279312,0.22124693494718775,85.05746668250805,0.0,0.0,0.0,0.0,0.0,0.995,0,3.3931789118682847,0.0,0.2867619497465057,0.3229412602649971,0.0,2.02804208497724e-13,64.88310930874587,127.72903776189438,37.30188847372515,127.72903776189439,28.6042270178331,5,5,0.0,0.0,0.0,0.9983333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
26,D1 LQR+VMC,randomized,147,oracle,none,constrained,3a15e6d18f04a4d7695a649049e9fd39b4d68d6896986c47cb0ce2983bde40f6,b3e8d1cd4c6f8250ee9ad07e957ef1df79003e8fadcc56cc33749ba2f4ff969e,d34ff5d0f531442aa63425bb7e6e1dd167a27e7378cae21d9e4dce8220a14e69,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.11768706988836,1.1519535828852017,1.0614676383973065,0.9600221712091143,1,600,6.0,0.27078656362153997,2.626938269245264,5.586127143204922,16.453057518696554,0.23091592220996085,69.76964709010318,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0,3.2693416379415523,0.0,3.158951799650822,3.715773200183321,6.89617053192626e-14,45.615946891289894,4.299063954960514,57.79691824287011,12.540299844035246,71.48788605527136,13.4171184708066,5,5,0.9966666666666667,0.0,0.0,0.09166666666666666,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065
27,D1 LQR+VMC,randomized,148,oracle,none,legacy,1969e17f4cdf659c2e7642ae14c311c2c0934d9a484ae8076c2da89ac8186ad9,36ad57737e4ba00dce497eae4b2a44ad34aa7b4dfecd8a7e8a0dce18adefab21,9602cabcb60ace23c8bdc0e2e58025062580c0a335d966d77800125e0917f1c7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0402388344614464,1.0474852137614152,1.130122177440941,0.9840954979980934,1,600,6.0,0.3606239166177774,1.6550187625969697,6.079226269105416,12.875583034332603,0.21386937102764014,107.71217861738171,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0,3.372001212100426,0.0,0.2552401999309949,0.28942727011781244,0.0,3.2246833262898478,66.14977751586831,128.31904794022628,39.13600643424887,128.46049606555673,29.20011363976364,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
27,D1 LQR+VMC,randomized,148,oracle,none,constrained,1969e17f4cdf659c2e7642ae14c311c2c0934d9a484ae8076c2da89ac8186ad9,36ad57737e4ba00dce497eae4b2a44ad34aa7b4dfecd8a7e8a0dce18adefab21,9602cabcb60ace23c8bdc0e2e58025062580c0a335d966d77800125e0917f1c7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0402388344614464,1.0474852137614152,1.130122177440941,0.9840954979980934,1,600,6.0,0.2422437779412817,2.4909644542709275,5.920630079558816,11.831446102705804,0.21173736330110116,61.67169850285456,0.0,0.0,0.0,0.0,0.0,0.8816666666666667,0,3.474437695094917,0.0,3.0181335994257097,3.3747298905291236,1.9780558392960165e-13,53.56890085067003,6.959255529428497,50.543361451798404,12.191760828275882,75.35713065445502,13.389189913398148,5,5,1.0,0.0,0.0,0.15166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11833333333333333
28,D1 LQR+VMC,randomized,149,oracle,none,legacy,dcd3737413c1060651ade4b19d3faa71591e54f1ec9c252f3580da310352a02e,5890120f9c3a945fee0fc3d3c7df412320de7e8ad9405442262a6f7e9c68575f,804fe5ba38a1e9fdef1784183dfaecaa8f0a6e3a9730ba1e0cb2d3a0b4dd5438,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.9180456539681073,0.9174989713286356,0.7940223325506199,0.9976903932111862,1,600,6.0,0.3593325299287097,1.993254576209196,5.036493917906945,8.642677222098317,0.2817929732913099,399.40978975777574,0.0,0.0,0.0,0.0,0.0,0.6316666666666667,0,3.3884824234850495,0.0,0.23971379982867802,0.25662991019999026,0.0,2.3858604383579685e-13,66.5680610117771,155.07459782914265,46.27824418636083,155.07459782914265,33.149888615859105,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
28,D1 LQR+VMC,randomized,149,oracle,none,constrained,dcd3737413c1060651ade4b19d3faa71591e54f1ec9c252f3580da310352a02e,5890120f9c3a945fee0fc3d3c7df412320de7e8ad9405442262a6f7e9c68575f,804fe5ba38a1e9fdef1784183dfaecaa8f0a6e3a9730ba1e0cb2d3a0b4dd5438,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.9180456539681073,0.9174989713286356,0.7940223325506199,0.9976903932111862,1,600,6.0,0.1808248544397582,1.7407692896066282,5.276098297042471,12.899891750682976,0.19042385847136187,40.960235339266696,0.0,0.0,0.0,0.0,0.0,0.9266666666666666,0,3.7444166809864305,0.0,3.3133202997305475,5.331664800633006,9.720511396485831e-14,52.48963746631482,3.434083932210781,41.95853139925149,7.547327764403578,63.12657962752323,8.47415158946855,5,5,0.9933333333333333,0.0,0.0,0.058333333333333334,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06833333333333333
29,D1 LQR+VMC,randomized,150,oracle,none,legacy,bc992c5a2a657b5aad63cffe71a4ed6a08d7ce99baf858b99e9a376956f08fec,7e56980219563b71e271c8c26d045d414b38c2796bf4350f693550f6eee0f00e,7b4f1083faa4d8d36e184da139dc0b28a4fc37db1636db9b72245f28f1f32287,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.9010608496924545,1.2188541579664647,1.1599784371381194,0.9168649918548842,1,600,6.0,0.24862018225529944,0.8779507059701722,2.371235895177122,13.024837033759946,0.20898691280533416,77.95988211170577,0.0,0.0,0.0,0.0,0.0,0.9883333333333333,0,3.514867511643909,0.0,0.2609195501008798,0.2968096198401326,0.0,2.007160209574987e-13,65.71480527021343,125.0363018395714,37.744532867409646,125.03630183957138,28.84188437421517,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
29,D1 LQR+VMC,randomized,150,oracle,none,constrained,bc992c5a2a657b5aad63cffe71a4ed6a08d7ce99baf858b99e9a376956f08fec,7e56980219563b71e271c8c26d045d414b38c2796bf4350f693550f6eee0f00e,7b4f1083faa4d8d36e184da139dc0b28a4fc37db1636db9b72245f28f1f32287,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,0.9010608496924545,1.2188541579664647,1.1599784371381194,0.9168649918548842,1,600,6.0,0.21736100285361448,2.0880251453484844,4.00317488390461,11.889636949262373,0.21804359544543792,72.99501007711496,0.00010416666666666667,0.0,0.0,0.0,0.0,0.6816666666666666,0,3.557038416019086,0.0,2.8405465496689426,3.093633730168221,6.22107056326236e-13,67.6569963005817,7.130555019005141,52.61857064427816,11.01949612641811,87.4088997681508,11.765027447585764,5,5,0.995,0.0,0.0,0.18,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315
