case_id,terrain_kind,training_seed,mode,perturbation,telemetry_csv,control_steps,simulated_duration_s,completed,terminated,termination_reason,velocity_rmse_mps,clearance_rmse_m,max_abs_yaw_rad,final_position_x_m,progress_m,commanded_displacement_m,progress_fraction,mean_torque_saturation_fraction,policy_enabled_fraction,policy_gated_fraction,episode_return,tail_velocity_rmse_mps,tail_velocity_mean_mps,tail_command_velocity_mean_mps,tail_observed_seconds,quality_success,quality_failure_reasons,full_bias_mps,full_variance_m2ps2,full_std_mps,full_rmse_mps,full_bias_share_of_mse,full_failure_type,tail_bias_mps,tail_variance_m2ps2,tail_std_mps,tail_rmse_mps,tail_bias_share_of_mse,tail_failure_type,return_roll_target_rad,return_pitch_target_rad,return_velocity_tracking,return_upright,return_height_tracking,return_alive,return_residual_effort,return_residual_smoothness,return_joint_limit_penalty,return_contact_penalty,return_termination_penalty,return_total,vertical_upper_fraction,vertical_action_mean,vertical_action_std,longitudinal_action_mean,raw_mu_z_mean,raw_std_z_mean,raw_upper_probability_z_mean
tracking_v2_development_01_flat,flat,,zero,nominal,episodes/tracking_v2_development_01_flat_nominal_zero_seed_None.csv,400,4.0,1,0,time_limit,0.11301599740913512,0.012439344536003842,0.0011116278759268554,0.8833590403420918,0.8833590403420918,1.240749999999992,0.7119557044868808,0.0,0.0,0.0,1546.8373405577313,0.05528073924417184,0.2967547598150278,0.3500000000000001,1.0,1,,-0.0889827146179763,0.004854692169597424,0.06967562105641703,0.11301599740913512,0.6199140180147322,mixed,-0.0532452401849722,0.000220904529026742,0.014862857364139037,0.05528073924417184,0.9277135435249173,bias_dominated_slow,0.0,0.0,729.4288907907791,399.7224679687173,337.68598179823425,80.0000000000006,0.0,0.0,0.0,0.0,0.0,1546.8373405577313,0.0,0.0,0.0,0.0,,,
tracking_v2_development_01_flat,flat,,constant_fz,nominal,episodes/tracking_v2_development_01_flat_nominal_constant_fz_seed_None.csv,400,4.0,1,0,time_limit,0.11510722502070164,0.015446600535230781,0.0008506537622769576,0.8684541639481322,0.8684541639481322,1.240749999999992,0.6999429086827627,0.0,0.0,0.0,1482.5035061170647,0.058219774897554095,0.2935651015865266,0.3500000000000001,1.0,1,,-0.09275497630093085,0.004646187623380199,0.06816294905137393,0.11510722502070164,0.6493356828485837,mixed,-0.05643489841347339,0.00020464443018280846,0.014305398637675514,0.058219774897554095,0.939624757927611,bias_dominated_slow,0.0,0.0,726.5141859749677,399.6834851800828,308.3558349620141,80.0000000000006,-31.99999999999967,-0.05,0.0,0.0,0.0,1482.5035061170647,1.0,1.0,0.0,0.0,,,
tracking_v2_development_01_flat,flat,0,full,nominal,episodes/tracking_v2_development_01_flat_nominal_full_seed_0.csv,400,4.0,1,0,time_limit,0.11475526890312732,0.015483064091794453,0.001731205941825579,0.8676600618244239,0.8676600618244239,1.240749999999992,0.6993028908518473,0.0,1.0,0.0,1481.0214791219353,0.06022175399196561,0.2913605287116592,0.3500000000000001,1.0,1,,-0.09296602704078757,0.004526089557280612,0.06727621836340544,0.11475526890312732,0.6563013129630776,mixed,-0.058639471288340815,0.00018807206089267858,0.013713936739415076,0.06022175399196561,0.9481417946974845,bias_dominated_slow,0.0,0.0,726.7832612693738,399.690792664512,307.98721167670584,80.0000000000006,-33.38563686870014,-0.05414961995584804,0.0,0.0,0.0,1481.0214791219353,0.97,0.998508674800396,0.010486922554101927,0.3032272928208113,1.2230109623074532,0.8846489787101746,0.5990958988961226
tracking_v2_development_01_flat,flat,0,replay,nominal,episodes/tracking_v2_development_01_flat_nominal_replay_seed_0.csv,400,4.0,1,0,time_limit,0.11475526890312732,0.015483064091794453,0.001731205941825579,0.8676600618244239,0.8676600618244239,1.240749999999992,0.6993028908518473,0.0,0.0,0.0,1481.0214791219353,0.06022175399196561,0.2913605287116592,0.3500000000000001,1.0,1,,-0.09296602704078757,0.004526089557280612,0.06727621836340544,0.11475526890312732,0.6563013129630776,mixed,-0.058639471288340815,0.00018807206089267858,0.013713936739415076,0.06022175399196561,0.9481417946974845,bias_dominated_slow,0.0,0.0,726.7832612693738,399.690792664512,307.98721167670584,80.0000000000006,-33.38563686870014,-0.05414961995584804,0.0,0.0,0.0,1481.0214791219353,0.97,0.998508674800396,0.010486922554101927,0.3032272928208113,1.2230109623074532,0.8846489787101746,0.5990958988961226
tracking_v2_development_01_flat,flat,0,fx_only,nominal,episodes/tracking_v2_development_01_flat_nominal_fx_only_seed_0.csv,400,4.0,1,0,time_limit,0.11183750900006323,0.01241693424139644,0.0018619081224509725,0.8867729048918735,0.8867729048918735,1.240749999999992,0.7147071568743738,0.0,1.0,0.0,1546.9200619055855,0.0557415777332877,0.2959356186494595,0.3500000000000001,1.0,1,,-0.0881558404182762,0.004736176219486645,0.06881988244313299,0.11183750900006323,0.6213369904590711,mixed,-0.05406438135054053,0.00018416615737948318,0.013570783226456872,0.0557415777332877,0.9407277637727883,bias_dominated_slow,0.0,0.0,730.8499938779806,399.72901769927864,337.91387732827,80.0000000000006,-1.570044719356152,-0.0027822805861854373,0.0,0.0,0.0,1546.9200619055855,0.0,0.0,0.0,0.312674253359437,1.4180590638518333,0.8846489787101746,0.6810426870020918
tracking_v2_development_01_flat,flat,0,fz_only,nominal,episodes/tracking_v2_development_01_flat_nominal_fz_only_seed_0.csv,400,4.0,1,0,time_limit,0.11394889090967766,0.015439426236212826,0.0015791621727686562,0.8697699345783162,0.8697699345783162,1.240749999999992,0.7010033726200458,0.0,1.0,0.0,1483.9011159357776,0.059764661433947014,0.2922586514312796,0.3500000000000001,1.0,1,,-0.09240803994699476,0.004445103892700242,0.06667161234513713,0.11394889090967766,0.6576567959223967,mixed,-0.057741348568720416,0.00023775142177984108,0.015419190049410543,0.059764661433947014,0.9334367994981988,bias_dominated_slow,0.0,0.0,727.6331522947686,399.68532866210694,308.417094364967,80.0000000000006,-31.781113681515315,-0.053345704549220954,0.0,0.0,0.0,1483.9011159357776,0.94,0.9964013859629631,0.018549409652330498,0.0,1.1618357548117637,0.8846489787101746,0.5722922421139833
tracking_v2_development_01_flat,flat,1000,full,nominal,episodes/tracking_v2_development_01_flat_nominal_full_seed_1000.csv,400,4.0,1,0,time_limit,0.11394748310556271,0.015430908388429612,0.002121574450656059,0.8697701841722633,0.8697701841722633,1.240749999999992,0.7010035737838153,0.0,1.0,0.0,1484.0257135733082,0.05992735444492033,0.29190685140974704,0.3500000000000001,1.0,1,,-0.09240699745600228,0.004444975727258887,0.06667065116870306,0.11394748310556271,0.6576582076790379,mixed,-0.05809314859025295,0.00021647389763790496,0.014713051948453962,0.05992735444492033,0.9397224870173619,bias_dominated_slow,0.0,0.0,727.6252465635118,399.6979586704582,308.5230997777297,80.0000000000006,-31.6989677888144,-0.12162364957750252,0.0,0.0,0.0,1484.0257135733082,0.79,0.9891581426560879,0.033341413490089934,-0.09204911546315998,1.160854286402464,0.8666360974311829,0.5720116070303781
tracking_v2_development_01_flat,flat,1000,replay,nominal,episodes/tracking_v2_development_01_flat_nominal_replay_seed_1000.csv,400,4.0,1,0,time_limit,0.11394748310556271,0.015430908388429612,0.002121574450656059,0.8697701841722633,0.8697701841722633,1.240749999999992,0.7010035737838153,0.0,0.0,0.0,1484.0257135733082,0.05992735444492033,0.29190685140974704,0.3500000000000001,1.0,1,,-0.09240699745600228,0.004444975727258887,0.06667065116870306,0.11394748310556271,0.6576582076790379,mixed,-0.05809314859025295,0.00021647389763790496,0.014713051948453962,0.05992735444492033,0.9397224870173619,bias_dominated_slow,0.0,0.0,727.6252465635118,399.6979586704582,308.5230997777297,80.0000000000006,-31.6989677888144,-0.12162364957750252,0.0,0.0,0.0,1484.0257135733082,0.79,0.9891581426560879,0.033341413490089934,-0.09204911546315998,1.160854286402464,0.8666360974311829,0.5720116070303781
tracking_v2_development_01_flat,flat,1000,fx_only,nominal,episodes/tracking_v2_development_01_flat_nominal_fx_only_seed_1000.csv,400,4.0,1,0,time_limit,0.1127722295644717,0.012445945643272843,0.000748069733307735,0.8826723933106037,0.8826723933106037,1.240749999999992,0.7114022916063746,0.0,1.0,0.0,1546.4030052400803,0.05716346752460166,0.29476379473102693,0.3500000000000001,1.0,1,,-0.08919748864763845,0.004761383779896313,0.0690027809576999,0.1127722295644717,0.625606021981058,mixed,-0.05523620526897306,0.0002166236469200607,0.014718140063202982,0.05716346752460166,0.9337068382128949,bias_dominated_slow,0.0,0.0,729.5943387012378,399.7193014484,337.6410168541409,80.0000000000006,-0.48606842317149257,-0.06558334052574641,0.0,0.0,0.0,1546.4030052400803,0.0,0.0,0.0,-0.12017594011733308,1.1809530006349087,0.8666360974311829,0.5807882178311001
tracking_v2_development_01_flat,flat,1000,fz_only,nominal,episodes/tracking_v2_development_01_flat_nominal_fz_only_seed_1000.csv,400,4.0,1,0,time_limit,0.11357937042257032,0.015405322072102193,0.0010885116561440572,0.8732574850037897,0.8732574850037897,1.240749999999992,0.7038142131805726,0.0,1.0,0.0,1485.7158598324313,0.061505639880867054,0.29009293177106094,0.3500000000000001,1.0,1,,-0.09156806986095006,0.0045155619675276105,0.06719793127416655,0.11357937042257032,0.6499638548301985,mixed,-0.05990706822893903,0.00019408691336814888,0.01393150793590374,0.061505639880867054,0.9486942109495612,bias_dominated_slow,0.0,0.0,728.5589574873514,399.68373927601607,308.86285939958583,80.0000000000006,-31.323911243227275,-0.065785087295399,0.0,0.0,0.0,1485.7158598324313,0.795,0.9887969939410687,0.033951894261840414,0.0,1.1441484759747982,0.8666360974311829,0.5648393868782978
