condition,training_seed,case_id,terrain_kind,quality_failure_reasons,source_csv,tail_bias_mps,tail_variance_m2ps2,tail_std_mps,tail_rmse_mps,tail_bias_share_of_mse,tail_failure_type
flat_rl,1000,tracking_v2_holdout_08_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_08_bumps.csv,-0.10491884683900228,0.0008131484234621971,0.02851575745902951,0.10872494123009782,0.931212193463447,bias_dominated_slow
flat_rl,1000,tracking_v2_holdout_09_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_09_bumps.csv,-0.09109174068272846,9.394641419481873e-05,0.009692595843984145,0.0916059585114651,0.988804776665755,bias_dominated_slow
flat_rl,1000,tracking_v2_holdout_10_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_10_bumps.csv,-0.025612867119241177,0.005255762396232586,0.07249663713740512,0.07688810934273578,0.11096806906547993,fluctuation_dominated
flat_rl,1000,tracking_v2_holdout_11_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_11_bumps.csv,0.07254640254350812,0.023479609987793713,0.15323057784852773,0.16953639877559756,0.18310738276045632,fluctuation_dominated
flat_rl,1000,tracking_v2_holdout_12_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_12_bumps.csv,-0.007922946732676793,0.013680677033056043,0.1169644263571452,0.11723246187803477,0.004567491014988159,fluctuation_dominated
flat_rl,1000,tracking_v2_holdout_13_bumps,bumps,progress|tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_13_bumps.csv,-0.07287750960843599,0.002519587982685352,0.05019549763360607,0.08849135206003483,0.6782431016374074,mixed
flat_rl,1000,tracking_v2_holdout_14_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_14_bumps.csv,-0.10311997466797643,0.0033619588943628593,0.057982401591886994,0.11830337302835857,0.759786094290253,mixed
flat_rl,1000,tracking_v2_holdout_15_bumps,bumps,tail_velocity,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_15_bumps.csv,-0.10225090041738209,9.819053358366687e-05,0.009909113662869493,0.10272992343883576,0.9906958716857551,bias_dominated_slow
flat_rl,1000,tracking_v2_holdout_16_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_16_ramp.csv,0.009039894985066304,0.0002712931862486246,0.016470980124103866,0.018788637193518098,0.23149211888269458,mixed
flat_rl,1000,tracking_v2_holdout_17_ramp,ramp,,/home/lyh/wheel-legged-control-lab/results/d1_terrain_tracking_v2/evaluation/flat_rl_seed_1000/tracking_v2_holdout_17_ramp.csv,0.007135142770473676,0.0004189079445120069,0.020467240764499912,0.02167529023720443,0.10836162075227851,fluctuation_dominated
