model_id,action_mode,seed,audit_index,num_timesteps,metric,value
shared2_seed31000,shared2,31000,12,6656,train/approx_kl,0.0111387362703681
shared2_seed31000,shared2,31000,12,6656,train/clip_fraction,0.1376953125
shared2_seed31000,shared2,31000,12,6656,train/value_loss,0.0022869034073664807
shared2_seed31000,shared2,31000,12,6656,train/policy_gradient_loss,-0.006540321046486497
shared2_seed31000,shared2,31000,12,6656,train/explained_variance,0.33070188760757446
shared2_seed31000,shared2,31000,13,7168,train/std,0.13319382071495056
shared2_seed31000,shared2,31000,13,7168,train/approx_kl,0.01294296607375145
shared2_seed31000,shared2,31000,13,7168,train/clip_fraction,0.11962890625
shared2_seed31000,shared2,31000,13,7168,train/value_loss,0.0017192857812915463
shared2_seed31000,shared2,31000,13,7168,train/policy_gradient_loss,-0.00841348324320279
shared2_seed31000,shared2,31000,13,7168,train/explained_variance,0.12253516912460327
shared2_seed31000,shared2,31000,14,7680,train/std,0.13292068243026733
shared2_seed31000,shared2,31000,14,7680,train/approx_kl,0.013004881329834461
shared2_seed31000,shared2,31000,14,7680,train/clip_fraction,0.12109375
shared2_seed31000,shared2,31000,14,7680,train/value_loss,0.00143506577842345
shared2_seed31000,shared2,31000,14,7680,train/policy_gradient_loss,-0.008495173591654748
shared2_seed31000,shared2,31000,14,7680,train/explained_variance,-0.031481146812438965
shared2_seed31000,shared2,31000,15,8192,train/std,0.13265058398246765
shared2_seed31000,shared2,31000,15,8192,train/approx_kl,0.003911113832145929
shared2_seed31000,shared2,31000,15,8192,train/clip_fraction,0.06201171875
shared2_seed31000,shared2,31000,15,8192,train/value_loss,0.0008830249917082256
shared2_seed31000,shared2,31000,15,8192,train/policy_gradient_loss,0.0002688808017410338
shared2_seed31000,shared2,31000,15,8192,train/explained_variance,0.706627368927002
shared2_seed31000,shared2,31000,16,8704,train/std,0.1323900669813156
shared2_seed31000,shared2,31000,16,8704,train/approx_kl,0.0062013897113502026
shared2_seed31000,shared2,31000,16,8704,train/clip_fraction,0.07470703125
shared2_seed31000,shared2,31000,16,8704,train/value_loss,0.0010892272657656576
shared2_seed31000,shared2,31000,16,8704,train/policy_gradient_loss,-0.004684503539465368
shared2_seed31000,shared2,31000,16,8704,train/explained_variance,0.7475062608718872
shared2_seed31000,shared2,31000,17,9216,train/std,0.1320902407169342
shared2_seed31000,shared2,31000,17,9216,train/approx_kl,0.006615479942411184
shared2_seed31000,shared2,31000,17,9216,train/clip_fraction,0.0791015625
shared2_seed31000,shared2,31000,17,9216,train/value_loss,0.0009691924788057804
shared2_seed31000,shared2,31000,17,9216,train/policy_gradient_loss,-0.0064504379988648
shared2_seed31000,shared2,31000,17,9216,train/explained_variance,0.3767908215522766
shared2_seed31000,shared2,31000,18,9728,train/std,0.13176442682743073
shared2_seed31000,shared2,31000,18,9728,train/approx_kl,0.010717990808188915
shared2_seed31000,shared2,31000,18,9728,train/clip_fraction,0.15185546875
shared2_seed31000,shared2,31000,18,9728,train/value_loss,0.000991021592199104
shared2_seed31000,shared2,31000,18,9728,train/policy_gradient_loss,-0.00512854423141107
shared2_seed31000,shared2,31000,18,9728,train/explained_variance,0.08040648698806763
shared2_seed31000,shared2,31000,19,10240,train/std,0.1315733641386032
shared2_seed31000,shared2,31000,19,10240,train/approx_kl,0.0036535398103296757
shared2_seed31000,shared2,31000,19,10240,train/clip_fraction,0.05029296875
shared2_seed31000,shared2,31000,19,10240,train/value_loss,0.005257958662696183
shared2_seed31000,shared2,31000,19,10240,train/policy_gradient_loss,-0.0003065885684918612
shared2_seed31000,shared2,31000,19,10240,train/explained_variance,0.6729254722595215
shared2_seed31000,shared2,31000,20,10752,train/std,0.1313384771347046
shared2_seed31000,shared2,31000,20,10752,train/approx_kl,0.006392783485352993
shared2_seed31000,shared2,31000,20,10752,train/clip_fraction,0.09716796875
shared2_seed31000,shared2,31000,20,10752,train/value_loss,0.002657683187862858
shared2_seed31000,shared2,31000,20,10752,train/policy_gradient_loss,-0.0025279366527684033
shared2_seed31000,shared2,31000,20,10752,train/explained_variance,0.9156638383865356
shared2_seed31000,shared2,31000,21,11264,train/std,0.131047785282135
shared2_seed31000,shared2,31000,21,11264,train/approx_kl,0.0022094673477113247
shared2_seed31000,shared2,31000,21,11264,train/clip_fraction,0.001953125
shared2_seed31000,shared2,31000,21,11264,train/value_loss,0.0018740449268079828
shared2_seed31000,shared2,31000,21,11264,train/policy_gradient_loss,-0.0011970126070082188
shared2_seed31000,shared2,31000,21,11264,train/explained_variance,0.9761379957199097
shared2_seed31000,shared2,31000,22,11776,train/std,0.13074927031993866
shared2_seed31000,shared2,31000,22,11776,train/approx_kl,0.009849406778812408
shared2_seed31000,shared2,31000,22,11776,train/clip_fraction,0.0478515625
shared2_seed31000,shared2,31000,22,11776,train/value_loss,0.0013179468805901706
shared2_seed31000,shared2,31000,22,11776,train/policy_gradient_loss,-0.0028744731098413467
shared2_seed31000,shared2,31000,22,11776,train/explained_variance,0.9788367748260498
shared2_seed31000,shared2,31000,23,12288,train/std,0.13081732392311096
shared2_seed31000,shared2,31000,23,12288,train/approx_kl,0.011724801734089851
shared2_seed31000,shared2,31000,23,12288,train/clip_fraction,0.0810546875
shared2_seed31000,shared2,31000,23,12288,train/value_loss,0.0011094906367361546
shared2_seed31000,shared2,31000,23,12288,train/policy_gradient_loss,-0.0018030711362371221
shared2_seed31000,shared2,31000,23,12288,train/explained_variance,0.9604616165161133
shared2_seed31000,shared2,31000,24,12800,train/std,0.13092461228370667
shared2_seed31000,shared2,31000,24,12800,train/approx_kl,0.0026338163297623396
shared2_seed31000,shared2,31000,24,12800,train/clip_fraction,0.02587890625
shared2_seed31000,shared2,31000,24,12800,train/value_loss,0.001376311953208642
shared2_seed31000,shared2,31000,24,12800,train/policy_gradient_loss,-0.0011429738951846957
shared2_seed31000,shared2,31000,24,12800,train/explained_variance,0.865700364112854
shared2_seed31000,shared2,31000,25,13312,train/std,0.13080912828445435
shared2_seed31000,shared2,31000,25,13312,train/approx_kl,0.004245487041771412
shared2_seed31000,shared2,31000,25,13312,train/clip_fraction,0.10693359375
shared2_seed31000,shared2,31000,25,13312,train/value_loss,0.0012401182066241745
shared2_seed31000,shared2,31000,25,13312,train/policy_gradient_loss,-0.00701304676476866
shared2_seed31000,shared2,31000,25,13312,train/explained_variance,0.5093923807144165
shared2_seed31000,shared2,31000,26,13824,train/std,0.13067953288555145
shared2_seed31000,shared2,31000,26,13824,train/approx_kl,0.012843457981944084
shared2_seed31000,shared2,31000,26,13824,train/clip_fraction,0.123046875
shared2_seed31000,shared2,31000,26,13824,train/value_loss,0.0013563973843702115
shared2_seed31000,shared2,31000,26,13824,train/policy_gradient_loss,-0.010412631614599377
shared2_seed31000,shared2,31000,26,13824,train/explained_variance,0.9005259275436401
shared2_seed31000,shared2,31000,27,14336,train/std,0.13052000105381012
