controller,state_delay_ms,metric,unit,episodes,estimate,ci95_low,ci95_high,delta_vs_0ms,delta_ci95_low,delta_ci95_high,ci_method,delta_ci_method
D1 LQR+VMC,10,state_age_p95_ms,ms,30,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,mean t,paired t
D1 LQR+VMC,10,state_age_max_ms,ms,30,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,10.000000000000007,mean t,paired t
D1 LQR+VMC,10,compensation_horizon_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,compensation_applied_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,compensation_rejected_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,raw_position_estimation_rmse_m,m,30,0.0025201843851841528,0.002249101247969466,0.0027912675223988395,0.0025201843851841528,0.002249101247969466,0.0027912675223988395,mean t,paired t
D1 LQR+VMC,10,control_position_estimation_rmse_m,m,30,0.0025201843851841528,0.002249101247969466,0.0027912675223988395,0.0025201843851841528,0.002249101247969466,0.0027912675223988395,mean t,paired t
D1 LQR+VMC,10,raw_pitch_estimation_rmse_deg,deg,30,0.3344703099567388,0.315849356015853,0.35309126389762463,0.3344703099567388,0.315849356015853,0.35309126389762463,mean t,paired t
D1 LQR+VMC,10,control_pitch_estimation_rmse_deg,deg,30,0.3344703099567388,0.315849356015853,0.35309126389762463,0.3344703099567388,0.315849356015853,0.35309126389762463,mean t,paired t
D1 LQR+VMC,10,raw_velocity_estimation_rmse_mps,m/s,30,0.024103606475743826,0.023258688492366245,0.024948524459121407,0.024103606475743413,0.02325868849236584,0.024948524459120987,mean t,paired t
D1 LQR+VMC,10,control_velocity_estimation_rmse_mps,m/s,30,0.024103606475743826,0.023258688492366245,0.024948524459121407,0.024103606475743413,0.02325868849236584,0.024948524459120987,mean t,paired t
D1 LQR+VMC,10,residual_action_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,residual_action_delta_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,mean_residual_longitudinal_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,10,mean_residual_vertical_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,success,ratio,30,0.23333333333333334,0.11792388144489496,0.40928326158122164,-0.7666666666666667,-0.9,-0.6,Wilson score,paired bootstrap
D1 LQR+VMC,20,episode_duration_s,s,30,4.282666666666667,3.687202311172224,4.878131022161109,-1.7173333333333334,-2.312797688827776,-1.1218689778388908,mean t,paired t
D1 LQR+VMC,20,mean_reward,reward/step,30,1.942891184122135,1.8009623149166556,2.0848200533276144,-1.5115128340035915,-1.6054846861340262,-1.4175409818731568,mean t,paired t
D1 LQR+VMC,20,velocity_rmse_mps,m/s,30,0.4414082199761213,0.37736403821339104,0.5054524017388515,0.13474279390611507,0.08474706009025251,0.18473852772197763,mean t,paired t
D1 LQR+VMC,20,pitch_rmse_deg,deg,30,11.204232542335781,10.499382094559097,11.909082990112465,9.902166608886686,9.235268589515172,10.5690646282582,mean t,paired t
D1 LQR+VMC,20,max_abs_pitch_deg,deg,30,33.306466163787654,30.039275994215096,36.57365633336021,29.552794078798104,26.18751690683738,32.91807125075883,mean t,paired t
D1 LQR+VMC,20,height_rmse_mm,mm,30,40.70774947985317,36.31499633103024,45.100502628676104,30.53097029995509,26.15296990317444,34.908970696735736,mean t,paired t
D1 LQR+VMC,20,normalized_torque_rms,ratio,30,0.42500434428073386,0.4170591128158812,0.4329495757455865,0.1902180544676586,0.17928361439546,0.2011524945398572,mean t,paired t
D1 LQR+VMC,20,mean_abs_mechanical_power_w,W,30,3253.004173397549,3031.6461101923983,3474.3622366027,3077.046807223394,2863.8074163519404,3290.2861980948474,mean t,paired t
D1 LQR+VMC,20,torque_saturation_ratio,ratio,30,0.04783619626907555,0.04344875093485726,0.05222364160329384,0.04783619626907555,0.04344875093485726,0.05222364160329384,mean t,paired t
D1 LQR+VMC,20,four_wheel_contact_ratio,ratio,30,0.1054211518004345,0.07874141771841245,0.13210088588245655,-0.7924121815328989,-0.8418051167662761,-0.7430192462995218,mean t,paired t
D1 LQR+VMC,20,undesired_contact_steps,steps,30,0.4666666666666667,-0.049747902048565384,0.9830812353818987,0.4666666666666667,-0.049747902048565384,0.9830812353818987,mean t,paired t
D1 LQR+VMC,20,solve_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,state_age_mean_ms,ms,30,19.97132114539409,19.9654054955487,19.977236795239477,19.97132114539409,19.9654054955487,19.977236795239477,mean t,paired t
D1 LQR+VMC,20,state_age_p95_ms,ms,30,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,mean t,paired t
D1 LQR+VMC,20,state_age_max_ms,ms,30,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,20.000000000000014,mean t,paired t
D1 LQR+VMC,20,compensation_horizon_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,compensation_applied_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,compensation_rejected_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,raw_position_estimation_rmse_m,m,30,0.006674589684020366,0.006016425574770373,0.007332753793270359,0.006674589684020366,0.006016425574770373,0.007332753793270359,mean t,paired t
D1 LQR+VMC,20,control_position_estimation_rmse_m,m,30,0.006674589684020366,0.006016425574770373,0.007332753793270359,0.006674589684020366,0.006016425574770373,0.007332753793270359,mean t,paired t
D1 LQR+VMC,20,raw_pitch_estimation_rmse_deg,deg,30,2.486084556538771,2.3641869973597065,2.6079821157178356,2.486084556538771,2.3641869973597065,2.6079821157178356,mean t,paired t
D1 LQR+VMC,20,control_pitch_estimation_rmse_deg,deg,30,2.486084556538771,2.3641869973597065,2.6079821157178356,2.486084556538771,2.3641869973597065,2.6079821157178356,mean t,paired t
D1 LQR+VMC,20,raw_velocity_estimation_rmse_mps,m/s,30,0.11269331980715142,0.10567037581655862,0.11971626379774421,0.11269331980715101,0.10567037581655822,0.1197162637977438,mean t,paired t
D1 LQR+VMC,20,control_velocity_estimation_rmse_mps,m/s,30,0.11269331980715142,0.10567037581655862,0.11971626379774421,0.11269331980715101,0.10567037581655822,0.1197162637977438,mean t,paired t
D1 LQR+VMC,20,residual_action_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,residual_action_delta_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,mean_residual_longitudinal_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,20,mean_residual_vertical_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,success,ratio,30,0.0,0.0,0.11351339317396876,-1.0,-1.0,-1.0,Wilson score,paired bootstrap
D1 LQR+VMC,30,episode_duration_s,s,30,1.0659999999999998,0.8731416543218455,1.2588583456781541,-4.933999999999999,-5.126858345678154,-4.7411416543218445,mean t,paired t
D1 LQR+VMC,30,mean_reward,reward/step,30,1.9435284785512734,1.75317989930122,2.133877057801327,-1.5108755395744526,-1.6869719350991903,-1.334779144049715,mean t,paired t
D1 LQR+VMC,30,velocity_rmse_mps,m/s,30,0.4324607101666334,0.371601567568669,0.4933198527645978,0.12579528409662716,0.06935685184746146,0.18223371634579286,mean t,paired t
D1 LQR+VMC,30,pitch_rmse_deg,deg,30,11.49379203303306,9.702491467797042,13.285092598269078,10.191726099583963,8.360973675605134,12.022478523562793,mean t,paired t
D1 LQR+VMC,30,max_abs_pitch_deg,deg,30,29.19250573443349,24.351972988209965,34.03303848065701,25.438833649443946,20.578893908151173,30.29877339073672,mean t,paired t
D1 LQR+VMC,30,height_rmse_mm,mm,30,36.69746549775663,30.137688781433877,43.25724221407938,26.52068631785855,19.800367109096353,33.241005526620754,mean t,paired t
D1 LQR+VMC,30,normalized_torque_rms,ratio,30,0.445101306830116,0.43036771562608556,0.45983489803414646,0.21031501701704072,0.19127753272132517,0.22935250131275628,mean t,paired t
D1 LQR+VMC,30,mean_abs_mechanical_power_w,W,30,3654.880615923715,3269.4589770728153,4040.302254774615,3478.9232497495614,3087.6995055256984,3870.1469939734243,mean t,paired t
D1 LQR+VMC,30,torque_saturation_ratio,ratio,30,0.07235376415727,0.06362569334717558,0.08108183496736443,0.07235376415727,0.06362569334717558,0.08108183496736443,mean t,paired t
D1 LQR+VMC,30,four_wheel_contact_ratio,ratio,30,0.20632344340577183,0.1734508652945399,0.23919602151700375,-0.6915098899275616,-0.7536866223162082,-0.629333157538915,mean t,paired t
D1 LQR+VMC,30,undesired_contact_steps,steps,30,1.6666666666666667,0.6698445400111207,2.663488793322213,1.6666666666666667,0.6698445400111207,2.663488793322213,mean t,paired t
D1 LQR+VMC,30,solve_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,state_age_mean_ms,ms,30,29.66154693610615,29.611415206474486,29.71167866573781,29.66154693610615,29.611415206474486,29.71167866573781,mean t,paired t
D1 LQR+VMC,30,state_age_p95_ms,ms,30,30.00000000000002,30.000000000000018,30.000000000000025,30.00000000000002,30.000000000000018,30.000000000000025,mean t,paired t
D1 LQR+VMC,30,state_age_max_ms,ms,30,30.00000000000002,30.000000000000018,30.000000000000025,30.00000000000002,30.000000000000018,30.000000000000025,mean t,paired t
D1 LQR+VMC,30,compensation_horizon_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,compensation_applied_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,compensation_rejected_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,raw_position_estimation_rmse_m,m,30,0.00925298850197178,0.00823157295150144,0.010274404052442121,0.00925298850197178,0.00823157295150144,0.010274404052442121,mean t,paired t
D1 LQR+VMC,30,control_position_estimation_rmse_m,m,30,0.00925298850197178,0.00823157295150144,0.010274404052442121,0.00925298850197178,0.00823157295150144,0.010274404052442121,mean t,paired t
D1 LQR+VMC,30,raw_pitch_estimation_rmse_deg,deg,30,3.864306160208517,3.393030166653229,4.335582153763805,3.864306160208517,3.393030166653229,4.335582153763805,mean t,paired t
D1 LQR+VMC,30,control_pitch_estimation_rmse_deg,deg,30,3.864306160208517,3.393030166653229,4.335582153763805,3.864306160208517,3.393030166653229,4.335582153763805,mean t,paired t
D1 LQR+VMC,30,raw_velocity_estimation_rmse_mps,m/s,30,0.18760233032683335,0.1716157644483839,0.2035888962052828,0.18760233032683288,0.17161576444838345,0.2035888962052823,mean t,paired t
D1 LQR+VMC,30,control_velocity_estimation_rmse_mps,m/s,30,0.18760233032683335,0.1716157644483839,0.2035888962052828,0.18760233032683288,0.17161576444838345,0.2035888962052823,mean t,paired t
D1 LQR+VMC,30,residual_action_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,residual_action_delta_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,30,mean_residual_longitudinal_force_n,N,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
