# {"config": {"dt": 0.002, "kind": "wheel", "torque_limit_nm": 2.0}, "initial_command_history": "zero", "name": "calibration_1", "sampling": "state_then_command_then_next_state", "schema_version": 1, "split": "calibration"}
time_s,command_torque_nm,position_rad,velocity_rad_s,next_position_rad,next_velocity_rad_s
0.0,0.27961172579016785,6.947235373208621e-05,-0.004675712311912167,-6.77715665930241e-05,-0.001366177638633724
0.002,0.28666321967471037,-6.77715665930241e-05,-0.001366177638633724,0.00013258532441610336,9.539166791142663e-05
0.004,0.29368597624078524,0.00013258532441610336,9.539166791142663e-05,-0.00039028823905635254,0.03051506137071027
0.006,0.30067290351246667,-0.00039028823905635254,0.03051506137071027,-8.47882963659599e-05,0.0560182835943762
0.008,0.3076169273707555,-8.47882963659599e-05,0.0560182835943762,-7.1765724917605546e-06,0.08428325400480234
0.01,0.31451099962152645,-7.1765724917605546e-06,0.08428325400480234,0.0006081948371916335,0.11015787335720388
0.012,0.32134810603544833,0.0006081948371916335,0.11015787335720388,0.0009343856334649635,0.13343456194043385
0.014,0.32812127435062927,0.0009343856334649635,0.13343456194043385,0.0014209092423713458,0.16248901868841603
0.016,0.3348235822287809,0.0014209092423713458,0.16248901868841603,0.0012337147354240044,0.19167203685388653
0.018000000000000002,0.3414481651557477,0.0012337147354240044,0.19167203685388653,0.0016485682361442383,0.21801996603788665
0.02,0.34798822427731346,0.0016485682361442383,0.21801996603788665,0.0023099771213534646,0.24654265822567595
0.022,0.35443703416127015,0.0023099771213534646,0.24654265822567595,0.003029616688567644,0.2751885377594801
0.024,0.3607879504768194,0.003029616688567644,0.2751885377594801,0.003944676374355157,0.301378623086349
0.026000000000000002,0.3670344175824711,0.003944676374355157,0.301378623086349,0.0044293692548393986,0.3346681296420593
0.028,0.3731699760137107,0.0044293692548393986,0.3346681296420593,0.004864570344256208,0.36541152875942806
0.03,0.37918826986182025,0.004864570344256208,0.36541152875942806,0.005600764521542637,0.3894130793728976
0.032,0.3850830540353632,0.005600764521542637,0.3894130793728976,0.00692076105382023,0.4218731083397966
0.034,0.39084820139598,0.00692076105382023,0.4218731083397966,0.007295496376370249,0.4558953333594897
0.036000000000000004,0.3964777097602837,0.007295496376370249,0.4558953333594897,0.008331083094227684,0.4854801502196808
0.038,0.4019657087598003,0.008331083094227684,0.4854801502196808,0.009891530483346568,0.5161942487102493
0.04,0.4073064665510612,0.009891530483346568,0.5161942487102493,0.01030700437577312,0.5454899589722961
0.042,0.4124943963681269,0.01030700437577312,0.5454899589722961,0.011773151258984099,0.5773286569122126
0.044,0.41752406291000393,0.011773151258984099,0.5773286569122126,0.013277380864071363,0.6110126281380257
0.046,0.42239018855560584,0.013277380864071363,0.6110126281380257,0.014221697699651373,0.6426295232915893
0.048,0.42708765939910637,0.014221697699651373,0.6426295232915893,0.015513978545053922,0.6721625241585233
0.05,0.4316115310987425,0.015513978545053922,0.6721625241585233,0.017220405154950495,0.7079229806134423
0.052000000000000005,0.43595703453233614,0.017220405154950495,0.7079229806134423,0.018631933800763924,0.7401706514574717
0.054,0.4401195812530283,0.018631933800763924,0.7401706514574717,0.020500212748297657,0.7725081859210082
0.056,0.44409476873894865,0.020500212748297657,0.7725081859210082,0.021697571358103362,0.8041848991322796
0.058,0.4478783854307784,0.021697571358103362,0.8041848991322796,0.023867465574240555,0.8390062111726712
0.06,0.4514664155514128,0.023867465574240555,0.8390062111726712,0.02507798761758783,0.8695071967431599
0.062,0.45485504370217533,0.02507798761758783,0.8695071967431599,0.02709796673203828,0.9007193447271855
0.064,0.45804065923029585,0.02709796673203828,0.9007193447271855,0.028660518799010586,0.93379348016306
0.066,0.4610198603626282,0.028660518799010586,0.93379348016306,0.03060849795254132,0.9653739362773266
0.068,0.46378945810084876,0.03060849795254132,0.9653739362773266,0.03298882925963617,0.9990050613197844
0.07,0.46634647987365596,0.03298882925963617,0.9990050613197844,0.03476537916117721,1.0368143096799665
0.07200000000000001,0.4686881729417665,0.03476537916117721,1.0368143096799665,0.03691865731817875,1.0690705012861563
0.074,0.4708120075517912,0.03691865731817875,1.0690705012861563,0.039025457394618504,1.0971628084496245
0.076,0.4727156798353611,0.039025457394618504,1.0971628084496245,0.041131298067548415,1.1337409562828273
0.078,0.4743971144501672,0.041131298067548415,1.1337409562828273,0.04361658303437949,1.160302615344335
0.08,0.47585446695987477,0.04361658303437949,1.160302615344335,0.045856591515153325,1.196188145714191
0.082,0.4770861259501745,0.045856591515153325,1.196188145714191,0.04840455054179348,1.2268779209281353
0.084,0.47809071487853344,0.04840455054179348,1.2268779209281353,0.05115887788609022,1.2610280449602596
0.08600000000000001,0.47886709365551805,0.05115887788609022,1.2610280449602596,0.05379308175854924,1.291049644287376
0.088,0.4794143599558702,0.05379308175854924,1.291049644287376,0.05644464982295104,1.3235109122182933
0.09,0.47973185025782444,0.05644464982295104,1.3235109122182933,0.05957437918405788,1.3552779939478694
0.092,0.4798191406094733,0.05957437918405788,1.3552779939478694,0.061651680830598396,1.3856343250432932
0.094,0.4796760471212958,0.061651680830598396,1.3856343250432932,0.06466345098662706,1.4156871729412375
0.096,0.47930262618428343,0.06466345098662706,1.4156871729412375,0.06729325167782739,1.4433876393166163
0.098,0.4786991744134109,0.06729325167782739,1.4433876393166163,0.0703299247453575,1.472265612306265
0.1,0.47786622831651715,0.0703299247453575,1.472265612306265,0.07321916309467402,1.503473872571665
0.10200000000000001,0.47680456368897584,0.07321916309467402,1.503473872571665,0.0766220363695191,1.530864303210216
0.10400000000000001,0.4755151947348526,0.0766220363695191,1.530864303210216,0.07951465735433125,1.5628427608511464
0.106,0.47399937291555766,0.07951465735433125,1.5628427608511464,0.08270948171004883,1.5933982427916595
0.108,0.4722585855273197,0.08270948171004883,1.5933982427916595,0.08582793480883028,1.6185323100088769
0.11,0.4702945540091162,0.08582793480883028,1.6185323100088769,0.08965446357320267,1.643299756403732
0.112,0.46810923198300575,0.08965446357320267,1.643299756403732,0.09256364595096095,1.6745355123808214
0.114,0.4657048030291184,0.09256364595096095,1.6745355123808214,0.09599905161383618,1.6970500522190044
0.116,0.46308367819786045,0.09599905161383618,1.6970500522190044,0.09953628309404093,1.722454757908547
0.11800000000000001,0.4602484932621987,0.09953628309404093,1.722454757908547,0.10279748393044649,1.7533086094170238
0.12,0.45720210571318154,0.10279748393044649,1.7533086094170238,0.10656331193560457,1.7756694882882151
0.122,0.4539475915021558,0.10656331193560457,1.7756694882882151,0.11019642745154529,1.7999714988436968
0.124,0.45048824153342476,0.11019642745154529,1.7999714988436968,0.11369113557336138,1.8251890478568733
0.126,0.44682755791138384,0.11369113557336138,1.8251890478568733,0.11758254273782968,1.8452246691497438
0.128,0.44296924994644904,0.11758254273782968,1.8452246691497438,0.12121935029925013,1.8663256229276977
0.13,0.4389172299243751,0.12121935029925013,1.8663256229276977,0.12493661867270177,1.8905452629142507
0.132,0.4346756086438278,0.12493661867270177,1.8905452629142507,0.12924695885227125,1.9122180442091121
0.134,0.43024869072734573,0.12924695885227125,1.9122180442091121,0.1327441472331181,1.9311270243943923
0.136,0.42564096971108506,0.1327441472331181,1.9311270243943923,0.13645395413906822,1.9503654397035748
0.138,0.42085712291899535,0.13645395413906822,1.9503654397035748,0.14081529597262038,1.966380424776706
0.14,0.41590200612732364,0.14081529597262038,1.966380424776706,0.14429637084040367,1.9921619804573005
0.14200000000000002,0.410780648025585,0.14429637084040367,1.9921619804573005,0.1484524551241298,2.0082158662746914
0.14400000000000002,0.40549824448037064,0.1484524551241298,2.0082158662746914,0.15248383818575734,2.0225468041604873
0.146,0.40006015260859284,0.15248383818575734,2.0225468041604873,0.15675461715970856,2.040227855164855
0.148,0.3944718846669847,0.15675461715970856,2.040227855164855,0.1605778796918831,2.0525899017454363
0.15,0.3887391017648838,0.1605778796918831,2.0525899017454363,0.16460712432476934,2.0687772854800706
0.152,0.3828676074075331,0.16460712432476934,2.0687772854800706,0.16922137806960771,2.0839635308268982
0.154,0.37686334087732526,0.16922137806960771,2.0839635308268982,0.17349632170643958,2.0973606575517407
0.156,0.3707323704606059,0.17349632170643958,2.0973606575517407,0.17741678138651895,2.113362945058498
0.158,0.36448088652782623,0.17741678138651895,2.113362945058498,0.18155645936155648,2.1254586014203967
0.16,0.3581151944750058,0.18155645936155648,2.1254586014203967,0.18616611047314266,2.133057736644366
0.162,0.3516417075346253,0.18616611047314266,2.133057736644366,0.19038493916698715,2.1416321754825183
0.164,0.3450669394642193,0.19038493916698715,2.1416321754825183,0.19482056588739996,2.1537030531943593
0.166,0.3383974971210778,0.19482056588739996,2.1537030531943593,0.199068656320413,2.1613706397148666
0.168,0.3316400729316016,0.199068656320413,2.1613706397148666,0.20338582133298286,2.168033137563227
0.17,0.3248014372639708,0.20338582133298286,2.168033137563227,0.20774011617513954,2.1729879420437204
0.17200000000000001,0.31788843071290124,0.20774011617513954,2.1729879420437204,0.21214903536866161,2.183304771824721
0.17400000000000002,0.3109079563053653,0.21214903536866161,2.183304771824721,0.21653293100326404,2.1885864266321384
0.176,0.3038669716362395,0.21653293100326404,2.1885864266321384,0.22066192084910446,2.1925740053441976
0.178,0.2967724809429281,0.22066192084910446,2.1925740053441976,0.22509709201199585,2.1959922322530057
0.18,0.28963152712807816,0.22509709201199585,2.1959922322530057,0.22939604949468773,2.2029096848434535
0.182,0.2824511837395606,0.22939604949468773,2.2029096848434535,0.23395857869703743,2.2004736098152717
0.184,0.2752385469169437,0.23395857869703743,2.2004736098152717,0.23836227871205157,2.203057433695138
0.186,0.26800072731372243,0.23836227871205157,2.203057433695138,0.2425699939355241,2.203405376191358
0.188,0.2607448420045931,0.2425699939355241,2.203405376191358,0.24691149610835395,2.2046965548145976
0.19,0.2534780063870847,0.24691149610835395,2.2046965548145976,0.2517533658968039,2.2031671950372327
0.192,0.24620732608685778,0.2517533658968039,2.2031671950372327,0.25643709872503034,2.204503578523586
0.194,0.23893988887598408,0.25643709872503034,2.204503578523586,0.26036799462268745,2.198878634067341
0.196,0.2316827566135004,0.26036799462268745,2.198878634067341,0.2644842003938894,2.1993686470748726
0.198,0.22444295721750737,0.2644842003938894,2.1993686470748726,0.2689522920257117,2.194585904800728
0.2,0.21722747667804398,0.2689522920257117,2.194585904800728,0.27340325270317467,2.1908466481170596
0.202,0.21004325111992764,0.27340325270317467,2.1908466481170596,0.277604292962855,2.1828834448335424
0.20400000000000001,0.2028971589246823,0.277604292962855,2.1828834448335424,0.2820695845641677,2.178312292366404
0.20600000000000002,0.19579601292062065,0.2820695845641677,2.178312292366404,0.28665888680235874,2.172689942579554
0.20800000000000002,0.18874655265005807,0.28665888680235874,2.172689942579554,0.29113211596097527,2.1625346740478086
0.21,0.18175543672255223,0.29113211596097527,2.1625346740478086,0.2953644293396251,2.1559482948483035
0.212,0.17482923526296096,0.2953644293396251,2.1559482948483035,0.2995106420864888,2.147541217957968
0.214,0.16797442246300454,0.2995106420864888,2.147541217957968,0.30371614314662976,2.140016809971029
0.216,0.16119736924489517,0.30371614314662976,2.140016809971029,0.30814132625466223,2.1315625763297574
0.218,0.15450433604547037,0.30814132625466223,2.1315625763297574,0.31257483902203914,2.1177964809870167
0.22,0.1479014657291272,0.31257483902203914,2.1177964809870167,0.3164863859655912,2.1106487617996796
0.222,0.14139477663770517,0.3164863859655912,2.1106487617996796,0.3202269853932965,2.096249688051468
0.224,0.1349901557853107,0.3202269853932965,2.096249688051468,0.3246037716003434,2.08656649402086
0.226,0.12869335220590378,0.3246037716003434,2.08656649402086,0.32875374946860164,2.0707193233036874
0.228,0.12250997046129748,0.32875374946860164,2.0707193233036874,0.33321507678124834,2.05996120433466
0.23,0.11644546431703258,0.33321507678124834,2.05996120433466,0.33741268060544233,2.041873596616576
0.232,0.11050513059339548,0.33741268060544233,2.041873596616576,0.3414371465198893,2.034648568244718
0.234,0.10469410319865,0.3414371465198893,2.034648568244718,0.345433405466563,2.018528270166402
0.23600000000000002,0.09901734735133944,0.345433405466563,2.018528270166402,0.34931234979730474,2.0038153864733195
0.23800000000000002,0.09347965399830005,0.34931234979730474,2.0038153864733195,0.35329478022283567,1.9847364288116085
0.24,0.08808563443480047,0.35329478022283567,1.9847364288116085,0.357205200468353,1.969072823760006
0.242,0.0828397151329893,0.357205200468353,1.969072823760006,0.3610021142913619,1.9537163766641252
0.244,0.07774613278459389,0.3610021142913619,1.9537163766641252,0.36509321838101444,1.9366528722538774
0.246,0.07280892956356477,0.36509321838101444,1.9366528722538774,0.3687525350731222,1.9197571971591167
0.248,0.06803194861410988,0.3687525350731222,1.9197571971591167,0.37211045152739447,1.904939188407081
0.25,0.06341882976929811,0.37211045152739447,1.904939188407081,0.37614798968457885,1.8833475114952318
0.252,0.058973005505153275,0.37614798968457885,1.8833475114952318,0.3802062868864717,1.8665768324570307
0.254,0.05469769713488129,0.3802062868864717,1.8665768324570307,0.38388212413353906,1.8493551050018746
0.256,0.05059591124760218,0.38388212413353906,1.8493551050018746,0.38763176233826074,1.8300802859520766
0.258,0.046670436395673615,0.38763176233826074,1.8300802859520766,0.39063056434351917,1.809691588239428
0.26,0.04292384003440844,0.39063056434351917,1.809691588239428,0.3945566388165556,1.7913361790883215
0.262,0.03935846571769694,0.3945566388165556,1.7913361790883215,0.3984528962521254,1.7711811163133104
0.264,0.03597643055274999,0.3984528962521254,1.7711811163133104,0.4019191413858416,1.748357720294573
0.266,0.03277962291688122,0.4019191413858416,1.748357720294573,0.405072251375215,1.7330908394807303
0.268,0.02976970043894525,0.405072251375215,1.7330908394807303,0.4084432826096717,1.7152569672380684
0.27,0.026948088247742252,0.4084432826096717,1.7152569672380684,0.41239666669926045,1.6961864605808727
0.272,0.02431597748939404,0.41239666669926045,1.6961864605808727,0.4158282232113491,1.672779901330905
0.274,0.021874324115384786,0.4158282232113491,1.672779901330905,0.41878150984450774,1.6529127518972182
0.276,0.01962384794265104,0.41878150984450774,1.6529127518972182,0.42188459964204034,1.6339043204774713
0.278,0.017565031986788493,0.42188459964204034,1.6339043204774713,0.4252487529691869,1.6109765676279673
0.28,0.01569812206913193,0.4252487529691869,1.6109765676279673,0.4285874886503797,1.5917206564226296
0.28200000000000003,0.014023126698147814,0.4285874886503797,1.5917206564226296,0.4314979537669116,1.571200902034215
0.28400000000000003,0.012539817225262484,0.4314979537669116,1.571200902034215,0.4344703046273101,1.5494199546637302
0.28600000000000003,0.011247728274934754,0.4344703046273101,1.5494199546637302,0.4377692241226616,1.5298320387885187
0.28800000000000003,0.010146158448464004,0.4377692241226616,1.5298320387885187,0.440709766495955,1.5114286876032732
0.29,0.009234171300712163,0.440709766495955,1.5114286876032732,0.4434825674296255,1.493538582295636
0.292,0.008510596588600206,0.4434825674296255,1.493538582295636,0.44672690291376466,1.4730016870432234
0.294,0.00797403178993053,0.44672690291376466,1.4730016870432234,0.44979339577972405,1.4550048956009631
0.296,0.007622843890772307,0.44979339577972405,1.4550048956009631,0.4529447135381997,1.4328821364279953
0.298,0.007455171439340463,0.4529447135381997,1.4328821364279953,0.4552816475287647,1.4125188796036274
0.3,0.00746892686398859,0.4552816475287647,1.4125188796036274,0.45811126190776225,1.3935007385314417
0.302,0.0076617990526369195,0.45811126190776225,1.3935007385314417,0.46051347785049557,1.3771731137374423
0.304,0.008031256190649205,0.46051347785049557,1.3771731137374423,0.46393430439339955,1.3588920302971477
