time_s,reference_velocity_rad_s,reference_acceleration_rad_s2,position_rad,actual_velocity_rad_s,measured_velocity_rad_s,tracking_error_rad_s,error_rad_s,proportional_torque_nm,integral_torque_nm,feedforward_torque_nm,requested_torque_nm,command_torque_nm,saturated,integration_frozen,applied_torque_nm,next_position_rad,next_velocity_rad_s,speed_guard_triggered
0.0,0.0,8.482300164692441,0.0,0.0,-0.0016822504278766774,0.0,0.0016822504278766774,0.00020187005134520127,2.0187005134520127e-06,0.0,0.0002038887518586533,0.0002038887518586533,False,False,0.0,0.0,0.0,False
0.002,0.016964509915226644,8.482164543599644,0.0,0.0,-0.0011364990333196244,0.016964509915226644,0.018101008948546268,0.002172121073825552,2.3739911251707532e-05,0.0,0.0021958609850772593,0.0021958609850772593,False,False,0.0,0.0,0.0,False
0.004,0.03392847734897331,8.481757684658069,0.0,0.0,-0.0017814950718152793,0.03392847734897331,0.035709972420788584,0.00428519669049463,6.659187815665383e-05,0.0,0.004351788568651284,0.004351788568651284,False,False,0.0002038887518586533,4.269418562915957e-08,2.1347092814579784e-05,False
0.006,0.0508913598371072,8.481079600878017,4.269418562915957e-08,2.1347092814579784e-05,-0.001955794591990116,0.05087001274429262,0.052847154429097314,0.006341658531491677,0.00013000846347157062,0.0,0.006471666994963248,0.006471666994963248,False,False,0.0021958609850772593,5.337346541038544e-07,0.0002455202342373474,False
0.008,0.06785261495018927,8.480130313942869,5.337346541038544e-07,0.0002455202342373474,0.0004317646523659902,0.06760709471595192,0.06742085029782327,0.008090502035738792,0.00021091348382895852,0.0,0.00830141551956775,0.00830141551956775,False,False,0.004351788568651284,1.804166929364952e-06,0.0006352161376305487,False
0.01,0.08481170031081975,8.478909854208386,1.804166929364952e-06,0.0006352161376305487,0.0024756797285385057,0.0841764841731892,0.08233602058228125,0.00988032246987375,0.000309716708527696,0.0,0.010190039178401446,0.010190039178401446,False,False,0.006471666994963248,4.088600429059853e-06,0.0011422167498474503,False
0.012,0.10176807361098203,8.477418260701736,4.088600429059853e-06,0.0011422167498474503,0.002314251976929566,0.10062585686113458,0.09945382163405246,0.011934458596086295,0.000429061294488559,0.0,0.012363519890574853,0.012363519890574853,False,False,0.00830141551956775,7.497957899207901e-06,0.001704678735074024,False
0.014,0.11872119262938417,8.475655581120249,7.497957899207901e-06,0.001704678735074024,0.0027181794717677094,0.11701651389431014,0.11600301315761646,0.013920361578913975,0.0005682649102776987,0.0,0.014488626489191674,0.014488626489191674,False,False,0.010190039178401446,1.2125862986212212e-05,0.002313952543502156,False
0.016,0.13567051524879783,8.473621871829893,1.2125862986212212e-05,0.002313952543502156,0.0021939962526555056,0.13335656270529567,0.13347651899614232,0.01601718227953708,0.0007284367330730694,0.0,0.01674561901261015,0.01674561901261015,False,False,0.012363519890574853,1.8100732348621558e-05,0.002987434681204673,False
0.018000000000000002,0.1526154994733938,8.471317197863474,1.8100732348621558e-05,0.002987434681204673,0.0008660905538161344,0.14962806479218915,0.15174940891957767,0.01820992907034932,0.0009105360237765626,0.0,0.019120465094125884,0.019120465094125884,False,False,0.014488626489191674,2.5506859841619034e-05,0.0037030637464987373,False
