time_s,reference_velocity_rad_s,reference_acceleration_rad_s2,position_rad,actual_velocity_rad_s,measured_velocity_rad_s,tracking_error_rad_s,error_rad_s,proportional_torque_nm,integral_torque_nm,feedforward_torque_nm,requested_torque_nm,command_torque_nm,saturated,integration_frozen,applied_torque_nm,next_position_rad,next_velocity_rad_s,speed_guard_triggered
0.0,0.0,16.49336143134641,0.0,0.0,-0.0016822504278766774,0.0,0.0016822504278766774,0.00020187005134520127,2.0187005134520127e-06,0.0,0.0002038887518586533,0.0002038887518586533,False,False,0.0,0.0,0.0,False
0.002,0.03298470233556223,16.49033079255956,0.0,0.0,-0.0011364990333196244,0.03298470233556223,0.03412120136888185,0.004094544164265822,4.296414215611024e-05,0.0,0.004137508306421932,0.004137508306421932,False,False,0.0,0.0,0.0,False
0.004,0.0659572851533215,16.481243431727947,0.0,0.0,-0.0017814950718152793,0.0659572851533215,0.06773878022513678,0.008128653627016414,0.00012425067842627437,0.0,0.008252904305442689,0.008252904305442689,False,False,0.0002038887518586533,4.269418562915957e-08,2.1347092814579784e-05,False
0.006,0.09890564714784057,16.46611300081593,4.269418562915957e-08,2.1347092814579784e-05,-0.001955794591990116,0.09888430005502599,0.10086144173983069,0.012103373008779682,0.0002452844085140712,0.0,0.012348657417293754,0.012348657417293754,False,False,0.004137508306421932,9.403144698521925e-07,0.00044881014211151646,False
0.008,0.13181772337997716,16.444962204436298,9.403144698521925e-07,0.00044881014211151646,0.0006350545602401592,0.13136891323786565,0.131182668819737,0.01574192025836844,0.00040270361109775565,0.0,0.016144623869466197,0.016144623869466197,False,False,0.008252904305442689,3.3250344516804394e-06,0.0011923599909141234,False
0.01,0.16468150331426273,16.41782272714003,3.3250344516804394e-06,0.0011923599909141234,0.0030328235818220806,0.1634891433233486,0.16164867973244065,0.019397841567892878,0.0005966820267766845,0.0,0.019994523594669564,0.019994523594669564,False,False,0.012348657417293754,7.655250921589507e-06,0.002165108234954534,False
0.012,0.19748504868225744,16.384735132182353,7.655250921589507e-06,0.002165108234954534,0.0033371434620366497,0.19531994044730291,0.1941479052202208,0.023297748626426494,0.0008296595130409494,0.0,0.024127408139467444,0.024127408139467444,False,False,0.016144623869466197,1.4203976322971036e-05,0.0032743627006907652,False
0.014,0.2302165111153626,16.345748732319763,1.4203976322971036e-05,0.0032743627006907652,0.004287863437384451,0.22694214841467183,0.22592864767797816,0.02711143772135738,0.001100773890254523,0.0,0.0282122116116119,0.0282122116116119,False,False,0.019994523594669564,2.3183389516200153e-05,0.004489706596614558,False
0.016,0.2628641494918344,16.300921433343426,2.3183389516200153e-05,0.004489706596614558,0.004369750305767907,0.2583744428952198,0.2584943991860665,0.031019327902327976,0.0014109671692778029,0.0,0.03243029507160578,0.03243029507160578,False,False,0.024127408139467444,3.481013568303112e-05,0.005813373083415483,False
0.018000000000000002,0.29541634694429647,16.25031955119865,3.481013568303112e-05,0.005813373083415483,0.0036920289560269442,0.28960297386088096,0.29172431798826953,0.035006918158592346,0.0017610363508637262,0.0,0.03676795450945607,0.03676795450945607,False,False,0.0282122116116119,4.9236233744697684e-05,0.0072130490308332795,False
0.02,0.32786162747589004,16.1940176036781,4.9236233744697684e-05,0.0072130490308332795,0.009880461462530011,0.3206485784450568,0.31798116601336,0.0381577399216032,0.002142613750079758,0.0,0.040300353671682956,0.040300353671682956,False,False,0.03243029507160578,6.660596917372241e-05,0.008684867714512368,False
0.022,0.36018867213530453,16.132098077805523,6.660596917372241e-05,0.008684867714512368,0.00850172361672991,0.35150380442079215,0.3516869485185746,0.042202433822228956,0.0025646380883020477,0.0,0.044767071910531,0.044767071910531,False,False,0.03676795450945607,8.70570371481672e-05,0.010225533987222393,False
0.024,0.39238633470328754,16.064651174147638,8.70570371481672e-05,0.010225533987222393,0.01369254548503814,0.3821608007160652,0.3786937892182494,0.04544325470618993,0.003019070635363947,0.0,0.048462325341553876,0.048462325341553876,False,False,0.040300353671682956,0.00011053089517401427,0.011736929012923537,False
0.026000000000000002,0.4244436568458215,15.9917745294018,0.00011053089517401427,0.011736929012923537,0.011835027903962032,0.41270672783289797,0.4126086289418595,0.04951303547302314,0.003514200990094178,0.0,0.053027236463117314,0.053027236463117314,False,False,0.044767071910531,0.0001371894963237085,0.013329300574847104,False
0.028,0.4563498826919499,15.913572918707114,0.0001371894963237085,0.013329300574847104,0.013041249007775884,0.4430205821171028,0.44330863368417406,0.05319703604210089,0.004046171350515187,0.0,0.057243207392616076,0.057243207392616076,False,False,0.048462325341553876,0.0001670035525054451,0.014907028090868307,False
