time_s,reference_velocity_rad_s,reference_acceleration_rad_s2,position_rad,actual_velocity_rad_s,measured_velocity_rad_s,tracking_error_rad_s,error_rad_s,proportional_torque_nm,integral_torque_nm,feedforward_torque_nm,requested_torque_nm,command_torque_nm,saturated,integration_frozen,applied_torque_nm,next_position_rad,next_velocity_rad_s,speed_guard_triggered
0.0,0.0,8.482300164692441,0.0,0.0,-0.0016822504278766774,0.0,0.0016822504278766774,0.00020187005134520127,2.0187005134520127e-06,0.16167810684466283,0.16188199559652147,0.16188199559652147,False,False,0.0,0.0,0.0,False
0.002,0.016964509915226644,8.482164543599644,0.0,0.0,-0.0011364990333196244,0.016964509915226644,0.018101008948546268,0.002172121073825552,2.3739911251707532e-05,0.18025861656612596,0.18245447755120323,0.18245447755120323,False,False,0.0,0.0,0.0,False
0.004,0.03392847734897331,8.481757684658069,0.0,0.0,-0.0017814950718152793,0.03392847734897331,0.035709972420788584,0.00428519669049463,6.659187815665383e-05,0.19559750920751007,0.19994929777616136,0.19994929777616136,False,False,0.16188199559652147,3.389799538724946e-05,0.01694899769362473,False
0.006,0.0508913598371072,8.481079600878017,3.389799538724946e-05,0.01694899769362473,0.014971856008820035,0.033942362143482466,0.035919503828287166,0.00431034045939446,0.00010969528275059842,0.20655323169953616,0.2109732674416812,0.2109732674416812,False,False,0.18245447755120323,9.72355420121504e-05,0.031668773312450466,False
0.008,0.06785261495018927,8.480130313942869,9.72355420121504e-05,0.031668773312450466,0.03185501773057911,0.0361838416377388,0.035997597219610156,0.004319711666353219,0.0001528923994141306,0.21382789462173804,0.2183004986875054,0.2183004986875054,False,False,0.19994929777616136,0.00018741706625753535,0.045090762122692474,False
0.01,0.08481170031081975,8.478909854208386,0.00018741706625753535,0.045090762122692474,0.04693122571360043,0.039720938188127275,0.03788047459721932,0.004545656951666318,0.00019834896893079377,0.21866090322019593,0.22340490914079306,0.22340490914079306,False,False,0.2109732674416812,0.0003025814341444267,0.05758218394344567,False
0.012,0.10176807361098203,8.477418260701736,0.0003025814341444267,0.05758218394344567,0.05875421917052779,0.04418588966753636,0.04301385444045424,0.005161662532854509,0.00024996559425933884,0.2220665074045099,0.22747813553162374,0.22747813553162374,False,False,0.2183004986875054,0.0004416113912149184,0.06951497853524584,False
0.014,0.11872119262938417,8.475655581120249,0.0004416113912149184,0.06951497853524584,0.07052847927193952,0.049206214094138334,0.048192713357444655,0.005783125602893359,0.0003077968502882724,0.22469091596341215,0.23078183841659378,0.23078183841659378,False,False,0.22340490914079306,0.0006039185059001832,0.08115355734263242,False
0.016,0.13567051524879783,8.473621871829893,0.0006039185059001832,0.08115355734263242,0.08103360105178577,0.05451695790616541,0.05463691419701207,0.006556429703641448,0.00037336114732468685,0.2269012752617139,0.23383106611268,0.23383106611268,False,False,0.22747813553162374,0.0007893424084102452,0.09271195125503102,False
0.018000000000000002,0.1526154994733938,8.471317197863474,0.0007893424084102452,0.09271195125503102,0.09059060712764248,0.05990354821836279,0.06202489234575133,0.007442987081490159,0.0004477910181395884,0.2288947635001643,0.23678554159979404,0.23678554159979404,False,False,0.23078183841659378,0.0009979827668031873,0.10432017919647103,False
0.02,0.16955560344607357,8.468741632918547,0.0009979827668031873,0.10432017919647103,0.10698759162816776,0.06523542424960253,0.0625680118179058,0.007508161418148696,0.0005228726323210753,0.2307743247644657,0.23880535881493545,0.23880535881493545,False,False,0.23383106611268,0.0012301691516783027,0.11609319243755772,False
0.022,0.18649028546579652,8.46589525935507,0.0012301691516783027,0.11609319243755772,0.11591004833977527,0.0703970930282388,0.07058023712602125,0.00846962845512255,0.0006075689168723009,0.23259293605739173,0.2416701334293866,0.2416701334293866,False,False,0.23678554159979404,0.001486405966182812,0.1281184072522547,False
