time_s,reference_velocity_rad_s,reference_acceleration_rad_s2,position_rad,actual_velocity_rad_s,measured_velocity_rad_s,tracking_error_rad_s,error_rad_s,proportional_torque_nm,integral_torque_nm,feedforward_torque_nm,requested_torque_nm,command_torque_nm,saturated,integration_frozen,applied_torque_nm,next_position_rad,next_velocity_rad_s,speed_guard_triggered
0.0,0.0,16.49336143134641,0.0,0.0,-0.0016822504278766774,0.0,0.0016822504278766774,0.00020187005134520127,2.0187005134520127e-06,0.19614317748192936,0.196347066233788,0.196347066233788,False,False,0.0,0.0,0.0,False
0.002,0.03298470233556223,16.49033079255956,0.0,0.0,-0.0011364990333196244,0.03298470233556223,0.03412120136888185,0.004094544164265822,4.296414215611024e-05,0.21319990671461053,0.21733741502103246,0.21733741502103246,False,False,0.0,0.0,0.0,False
0.004,0.0659572851533215,16.481243431727947,0.0,0.0,-0.0017814950718152793,0.0659572851533215,0.06773878022513678,0.008128653627016414,0.00012425067842627437,0.22293993301582074,0.23119283732126342,0.23119283732126342,False,False,0.196347066233788,4.111496106140125e-05,0.020557480530700625,False
0.006,0.09890564714784057,16.46611300081593,4.111496106140125e-05,0.020557480530700625,0.018580338845895928,0.07834816661713995,0.08032530830194465,0.009639036996233358,0.00022064104838860794,0.22779278831786476,0.23765246636248671,0.23765246636248671,False,False,0.21733741502103246,0.00012378159270358814,0.04133331582109345,False
0.008,0.13181772337997716,16.444962204436298,0.00012378159270358814,0.04133331582109345,0.0415195602392221,0.0904844075588837,0.09029816314075506,0.010835779576890607,0.000328998844157514,0.23085784383432434,0.24202262225537247,0.24202262225537247,False,False,0.23119283732126342,0.00024784010580084827,0.06202925654863005,False
0.01,0.16468150331426273,16.41782272714003,0.00024784010580084827,0.06202925654863005,0.06386972013953801,0.10265224676563268,0.10081178317472472,0.012097413980966967,0.00044997298396718365,0.2333505768887146,0.24589796385364876,0.24589796385364876,False,False,0.23765246636248671,0.0004126849412263751,0.0824224177127634,False
0.012,0.19748504868225744,16.384735132182353,0.0004126849412263751,0.0824224177127634,0.08359445293984552,0.11506263096949404,0.11389059574241192,0.01366687148908943,0.0005866416988580779,0.2356316288819408,0.24988514206988832,0.24988514206988832,False,False,0.24202262225537247,0.000618035279310231,0.10267516904192801,False
0.014,0.2302165111153626,16.345748732319763,0.000618035279310231,0.10267516904192801,0.10368866977862169,0.1275413420734346,0.1265278413367409,0.015183340960408905,0.0007384751084621669,0.23780004334609506,0.2537218594149661,0.2537218594149661,False,False,0.24589796385364876,0.0008639063843810308,0.12293555253539988,False
0.016,0.2628641494918344,16.300921433343426,0.0008639063843810308,0.12293555253539988,0.12281559624455322,0.1399285969564345,0.14004855324728116,0.016805826389673737,0.0009065333723589043,0.23988240799879687,0.2575947677608295,0.2575947677608295,False,False,0.24988514206988832,0.001150526968184774,0.14331029190187156,False
0.018000000000000002,0.29541634694429647,16.25031955119865,0.001150526968184774,0.14331029190187156,0.14118894777448301,0.15210605504242491,0.15422739916981346,0.018507287900377613,0.0010916062513626804,0.24188580141036586,0.2614846955621062,0.2614846955621062,False,False,0.2537218594149661,0.0014781797770502167,0.16382640443272148,False
0.02,0.32786162747589004,16.1940176036781,0.0014781797770502167,0.16382640443272148,0.16649381686441822,0.16403522304316856,0.16136781061147182,0.019364137273376616,0.0012852476240964466,0.24381213525266007,0.26446152015013313,0.26446152015013313,False,False,0.2575947677608295,0.0018471922027906251,0.18450621287020422,False
0.022,0.36018867213530453,16.132098077805523,0.0018471922027906251,0.18450621287020422,0.18432306877242177,0.17568245926510032,0.17586560336288276,0.021103872403545932,0.001496286348131906,0.24566200947664033,0.26826216822831817,0.26826216822831817,False,False,0.2614846955621062,0.00225790968969498,0.2053587434521775,False
0.024,0.39238633470328754,16.064651174147638,0.00225790968969498,0.2053587434521775,0.20882575494999325,0.18702759125111004,0.1835605797532943,0.022027269570395313,0.001716559043835859,0.24743574707207994,0.2711795756863111,0.2711795756863111,False,False,0.26446152015013313,0.0027104907538154314,0.2262905320602257,False
0.026000000000000002,0.4244436568458215,15.9917745294018,0.0027104907538154314,0.2262905320602257,0.22638863095126419,0.19815312478559582,0.19805502589455734,0.02376660310734688,0.001954225074909328,0.24913367107839463,0.2748544992606508,0.2748544992606508,False,False,0.26826216822831817,0.0032052682587646653,0.24738875247461706,False
0.028,0.4563498826919499,15.913572918707114,0.0032052682587646653,0.24738875247461706,0.24710070090754585,0.20896113021733287,0.20924918178440408,0.025109901814128487,0.0022053240930506126,0.25075617756715934,0.27807140347433845,0.27807140347433845,False,False,0.2711795756863111,0.0037423880198826573,0.26855988055899593,False
0.03,0.48809447279722273,15.830157939214741,0.0037423880198826573,0.26855988055899593,0.2710993747083141,0.2195345922382268,0.21699509808890866,0.026039411770669037,0.002465718210757303,0.2523037534104836,0.28080888339190996,0.28080888339190996,False,False,0.2748544992606508,0.004322153557314102,0.28988276871572205,False
0.032,0.5196671174568788,15.741647676529727,0.004322153557314102,0.28988276871572205,0.2887820566064785,0.22978434874115672,0.23088506085040028,0.027706207302048032,0.0027427802837777836,0.25377697893083345,0.28422596651665927,0.28422596651665927,False,False,0.27807140347433845,0.004944769440592884,0.3113079416393912,False
