time_s,reference_velocity_rad_s,reference_acceleration_rad_s2,position_rad,actual_velocity_rad_s,measured_velocity_rad_s,tracking_error_rad_s,error_rad_s,proportional_torque_nm,integral_torque_nm,feedforward_torque_nm,requested_torque_nm,command_torque_nm,saturated,integration_frozen,applied_torque_nm,next_position_rad,next_velocity_rad_s,speed_guard_triggered
0.0,0.0,16.49336143134641,0.0,0.0,-0.0016822504278766774,0.0,0.0016822504278766774,0.00020187005134520127,2.0187005134520127e-06,0.0,0.0002038887518586533,0.0002038887518586533,False,False,0.0,0.0,0.0,False
0.002,0.03298470233556223,16.49033079255956,0.0,0.0,-0.0011364990333196244,0.03298470233556223,0.03412120136888185,0.004094544164265822,4.296414215611024e-05,0.0,0.004137508306421932,0.004137508306421932,False,False,0.0,0.0,0.0,False
0.004,0.0659572851533215,16.481243431727947,0.0,0.0,-0.0017814950718152793,0.0659572851533215,0.06773878022513678,0.008128653627016414,0.00012425067842627437,0.0,0.008252904305442689,0.008252904305442689,False,False,0.0002038887518586533,4.269418562915957e-08,2.1347092814579784e-05,False
0.006,0.09890564714784057,16.46611300081593,4.269418562915957e-08,2.1347092814579784e-05,-0.001955794591990116,0.09888430005502599,0.10086144173983069,0.012103373008779682,0.0002452844085140712,0.0,0.012348657417293754,0.012348657417293754,False,False,0.004137508306421932,9.474665794215084e-07,0.00045238619689617443,False
0.008,0.13181772337997716,16.444962204436298,9.474665794215084e-07,0.00045238619689617443,0.0006386306150248172,0.131365337183081,0.13117909276495235,0.01574149113179428,0.000402699319832014,0.0,0.016144190451626295,0.016144190451626295,False,False,0.008252904305442689,3.4889806641027795e-06,0.0012707570423406355,False
0.01,0.16468150331426273,16.41782272714003,3.4889806641027795e-06,0.0012707570423406355,0.0031112206332485925,0.1634107462719221,0.16157028268101414,0.019388433921721696,0.000596583659049231,0.0,0.019985017580770925,0.019985017580770925,False,False,0.012348657417293754,8.359563232798722e-06,0.0024352912843479714,False
0.012,0.19748504868225744,16.384735132182353,8.359563232798722e-06,0.0024352912843479714,0.003607326511430087,0.19504975739790947,0.19387772217082735,0.023265326660499283,0.0008292369256542239,0.0,0.024094563586153507,0.024094563586153507,False,False,0.016144190451626295,1.6118975945611527e-05,0.003879706356406402,False
0.014,0.2302165111153626,16.345748732319763,1.6118975945611527e-05,0.003879706356406402,0.004893207093100087,0.22633680475895618,0.2253233040222625,0.0270387964826715,0.001099624890480939,0.0,0.02813842137315244,0.02813842137315244,False,False,0.019985017580770925,2.7280664545603167e-05,0.00558084429999582,False
0.016,0.2628641494918344,16.300921433343426,2.7280664545603167e-05,0.00558084429999582,0.005460888009149169,0.25728330519183856,0.2574032614826852,0.030888391377922226,0.0014085088042601612,0.0,0.032296900182182384,0.032296900182182384,False,False,0.024094563586153507,4.236416997224192e-05,0.007541752713319375,False
0.018000000000000002,0.29541634694429647,16.25031955119865,4.236416997224192e-05,0.007541752713319375,0.005420408585930836,0.2878745942309771,0.2899959383583656,0.034799512603003874,0.0017565039302901999,0.0,0.03655601653329407,0.03655601653329407,False,False,0.02813842137315244,6.182608608472327e-05,0.009730958056240675,False
0.02,0.32786162747589004,16.1940176036781,6.182608608472327e-05,0.009730958056240675,0.012398370487937406,0.31813066941964935,0.31546325698795263,0.03785559083855432,0.002135059838675743,0.0,0.03999065067723006,0.03999065067723006,False,False,0.032296900182182384,8.610640996088451e-05,0.012140161938080624,False
0.022,0.36018867213530453,16.132098077805523,8.610640996088451e-05,0.012140161938080624,0.011957017840298165,0.34804851019722394,0.34823165429500635,0.04178779851540076,0.0025529378238297504,0.0,0.04434073633923051,0.04434073633923051,False,False,0.03655601653329407,0.0001156303471996078,0.014761968619361639,False
0.024,0.39238633470328754,16.064651174147638,0.0001156303471996078,0.014761968619361639,0.018228980117177385,0.3776243660839259,0.37415735458611016,0.04489888255033322,0.0030019266493330828,0.0,0.0479008091996663,0.0479008091996663,False,False,0.03999065067723006,0.00015061998514076443,0.01749481897057832,False
0.026000000000000002,0.4244436568458215,15.9917745294018,0.00015061998514076443,0.01749481897057832,0.017592917861616816,0.4069488378752432,0.4068507389842047,0.048822088678104565,0.0034901475361141287,0.0,0.052312236214218696,0.052312236214218696,False,False,0.04434073633923051,0.00019148193312073727,0.020430973989986428,False
0.028,0.4563498826919499,15.913572918707114,0.00019148193312073727,0.020430973989986428,0.020142922422915207,0.4359189087019635,0.4362069602690347,0.05234483523228416,0.00401359588843697,0.0,0.056358431120721135,0.056358431120721135,False,False,0.0479008091996663,0.00023843775226835653,0.02347790957380962,False
