zone,baseline,state_estimation_mode,latency_compensation,evaluation_seed,success,distance_m,maximum_height_m,minimum_wheel_contacts,four_wheel_contact_ratio,max_abs_roll_deg,max_abs_pitch_deg,torque_saturation_ratio,step_time_p95_ms,compensation_applied_ratio,compensation_horizon_p95_ms,compensation_rejected_steps,completed_jumps,cleared_hurdles,jump_height_gain_m,safety_interventions
start,mpc,oracle,none,0,1,1.6198092733292726,0.4917833046151179,1,0.88,2.768163209148454,6.829386679921708,0.0,1.9479409005725756,0.0,0.0,0,0,0,0.03678330461511786,0
rough,mpc,oracle,none,0,1,2.504928265389076,0.48941960821122676,0,0.71,1.909893594164669,6.9992024959600885,0.00046875,1.8426294525852425,0.0,0.0,0,0,0,0.03441960821122675,0
ramp,mpc,oracle,none,0,1,4.609419269699942,0.6499326826581004,2,0.9815384615384616,0.023649721361660183,11.169874570267813,0.0,1.8909331913164351,0.0,0.0,0,0,0,0.19493268265810043,0
stairs,mpc,oracle,none,0,0,3.206141866427597,0.5259728232329846,1,0.7838461538461539,2.5174495156477805,8.397808902652754,0.0,1.9565978574973997,0.0,0.0,0,0,0,0.07097282323298454,0
bumps,mpc,oracle,none,0,1,3.9257317446166513,0.48367738026970153,2,0.8342857142857143,1.5961420309618564,5.594781636294134,0.0,1.8490693386411294,0.0,0.0,0,0,0,0.028677380269701513,0
jump,mpc,oracle,none,0,1,2.363207103248201,0.5278578500667057,0,0.897,0.9526567526161605,7.656966722096928,0.0,1.585044598323293,0.0,0.0,0,1,1,0.0728578500667057,0
