time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/std,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/value_loss,train/explained_variance,train/loss
223,0,32.0,0.622698,1,32,,,,,,,,,,,
173,0,32.0,0.6215189999999999,2,64,0.13534533977508545,-2.2351741790771484e-08,0.0003,4.648491382598877,0.0,0.2,0.0,1,0.0576942078769207,-0.07253134250640869,0.02884708158671856
162,0,32.0,0.6196626666666666,3,96,0.1353479027748108,7.450580596923828e-09,0.0003,4.647898197174072,0.0,0.2,0.0,2,0.060013964772224426,-0.8003078699111938,0.03000698983669281
158,0,32.0,0.6188589999999999,4,128,0.13535748422145844,-7.450580596923828e-08,0.0003,4.647746562957764,0.0,0.2,0.0,3,0.0737675279378891,-1.003838300704956,0.03688368946313858
158,1,32.0,0.6190152,5,160,0.13536237180233002,-1.3969838619232178e-07,0.0003,4.647181034088135,0.0,0.2,0.0,4,0.09137875586748123,-1.351071834564209,0.04568924009799957
156,1,32.0,0.618752,6,192,0.1353645622730255,-2.905726432800293e-07,0.0003,4.64689302444458,0.0,0.2,0.0,5,0.07306066900491714,-0.25393569469451904,0.03653004392981529
153,1,32.0,0.6195408571428571,7,224,0.13536997139453888,-7.078051567077637e-08,0.0003,4.646764278411865,0.0,0.2,0.0,6,0.051930688321590424,-0.43626928329467773,0.02596527338027954
153,1,32.0,0.619663625,8,256,0.1353731006383896,-4.0978193283081055e-08,0.0003,4.646443843841553,0.0,0.2,0.0,7,0.04884819686412811,-0.40767061710357666,0.024424057453870773
